AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,Label
10.759618,2.630559,2.590439,3.259673,1.458067,2.445642,1.304195,3.284627,3.89772,3.981694,5.60426,1.841338,2.824701,1.813263,1.207537,4.042378,1.984148,1.809614,7.528229,10.43772,7.274617,0.976206,2.563386,2.257295,1.370396,happy
37.765561,8.876248,8.600382,4.141092,1.026074,1.559946,1.271155,3.311591,2.351516,1.497597,11.975015,5.396017,7.839721,6.992481,1.933621,4.282601,3.006224,4.208349,4.417668,2.291986,9.378334,8.788154,9.381019,4.281023,1.117219,sad
15.525118,2.841662,2.289326,3.344596,1.468768,1.770377,1.31661,3.282863,4.174703,3.790593,5.659882,1.681128,3.208866,1.876637,1.465889,3.767571,1.487631,2.257871,8.571737,10.182668,8.873953,1.004339,2.187039,2.269384,1.367318,happy
6.626908,2.832241,2.369306,2.35856,1.037765,1.9224,4.245437,1.109684,1.285301,0.610881,0.624599,1.458609,0.619745,0.286168,0.397598,2.254547,2.083208,1.097625,1.034403,0.693287,5.827742,2.635311,2.244215,1.58403,1.384067,sad
121.057914,10.097121,5.052572,1.606283,0.972272,89.379105,6.561194,3.777341,2.423967,1.715892,14.369364,4.106469,0.901118,0.394971,0.566478,88.195603,4.848826,6.577939,2.996761,3.094415,115.606392,11.811435,3.935345,2.048271,1.459959,happy
7.031669,10.633338,6.916495,1.994125,4.526534,3.381249,4.533228,4.519319,4.942571,7.367557,93.340106,10.085593,6.535782,1.24704,3.41281,13.079914,8.665636,10.441749,9.765059,13.736851,11.331369,9.824103,6.583139,2.521067,4.820584,happy
10.422098,5.668231,2.004702,1.425814,1.328071,12.997435,5.074313,3.019246,1.167,1.319478,0.867574,1.165168,0.72225,0.562383,0.718631,3.844,3.565712,1.349657,0.867994,0.905473,6.598385,7.940827,3.812672,1.60484,1.120697,happy
3.387363,2.5628,2.451082,1.500921,0.80888,2.758684,0.851395,0.929819,1.052557,1.09469,1.004108,0.508637,0.725174,0.638815,0.545194,2.119733,2.387078,0.855897,1.080385,1.0003,2.957988,4.304841,2.456886,0.915045,1.380843,happy
5.815765,5.748867,1.530866,1.941071,1.407005,2.325473,2.230735,0.574197,2.111763,1.715139,1.212195,1.497075,0.478748,0.808935,0.619647,2.164942,2.679869,0.74875,0.903713,0.862915,2.352398,3.881134,1.10999,2.490596,1.738883,happy
2.685283,1.679276,1.523754,1.084417,0.83316,2.069776,0.733741,1.055468,0.710894,0.605746,1.021709,1.376375,1.157044,0.569233,0.415778,0.906151,1.500166,1.983276,0.751144,0.717805,2.014136,1.801437,2.337314,0.600676,0.573397,happy
