AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,class
10.962697,6.232633,3.248544,2.91727,2.586568,30.858904,8.223267,4.774941,5.074915,4.968243,19.307245,1.825359,2.463791,3.007474,3.184908,6.549154,2.331029,6.486978,7.769958,9.158568,12.759597,1.706777,3.084463,2.884473,3.361431,happy
3.115403,1.29625,1.153884,1.407336,1.825559,0.847273,1.738854,1.048247,2.460994,3.974823,6.755835,3.076364,1.270915,1.836215,1.101523,1.945516,1.971409,4.701244,13.268516,9.05506,1.651998,1.512791,1.94073,1.408561,1.4157,happy
4.355328,4.966662,1.549325,1.470585,1.037152,1.454812,1.277532,0.97009,1.302854,1.62861,21.285874,5.546295,5.927871,3.718262,1.887595,1.755438,2.604607,2.308265,3.318209,2.243026,4.284499,3.044654,2.352331,2.042757,1.232716,sad
6.423689,3.867545,1.66699,2.138772,2.820869,4.86161,2.442608,1.543694,2.512795,3.941022,9.0817,3.180979,3.584813,3.063501,2.587884,3.021524,3.886966,3.509559,2.363604,3.880816,10.147436,2.753803,0.948312,1.562794,3.485639,sad
76.006194,20.420225,5.143577,1.875855,2.736703,1.867829,1.221178,1.897101,3.154171,6.873726,39.627137,9.184448,3.307557,2.012064,2.409855,3.061987,4.714878,5.806366,5.245693,12.657656,35.614443,10.939364,3.212961,1.966608,2.477345,happy
3.709993,4.088748,1.016105,1.293538,1.380722,1.693378,1.336868,1.107903,1.114791,1.958342,14.02,7.531156,3.394722,2.06166,1.732672,2.816967,2.035103,1.095383,3.267228,2.827426,4.833097,2.528194,2.16055,1.355379,0.877435,sad
196.058854,20.067794,6.875894,5.342586,3.641653,133.241973,34.47752,7.41539,7.874009,16.497016,138.373827,60.658066,16.753214,21.309175,7.016842,143.911461,30.833101,20.569205,21.304495,11.928509,105.801673,5.697136,3.21087,5.354321,7.413083,happy
51.076949,15.513503,2.648713,1.671768,1.098861,1.939551,1.130504,1.506032,1.918347,1.799535,6.830449,1.97399,2.082694,1.125215,1.976691,1.368997,0.937886,1.759189,1.589705,2.580266,14.382899,6.859907,2.526873,1.86827,1.225251,sad
2.44558,0.950798,3.889839,4.153292,4.290427,1.224184,1.762219,2.967263,7.771302,12.145761,63.957945,7.364096,2.913949,3.323935,3.037682,2.265375,2.953087,9.40633,12.783202,13.524191,0.603468,1.339027,2.072218,4.504663,4.101103,happy
15.147494,6.59217,0.752726,2.094396,2.166341,31.205504,10.883293,5.860957,3.233481,6.725267,19.216909,7.680991,2.969727,2.357254,2.651825,13.517566,7.847994,13.117885,8.537642,11.302258,9.192865,5.241282,1.632614,2.511719,2.258378,happy
