TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_T7,CQ_Pz,CQ_T8,CQ_AF4,class
1557645962.90321,41.919626,12.093763,9.453442,8.962027,16.09367,28.7533,18.69514,11.877602,20.662913,32.822237,18.114142,6.035945,8.940184,7.970697,14.721863,4.520724,8.534906,5.841406,20.596442,26.832774,9.325451,8.889988,9.303163,7.688138,18.194836,4,4,4,4,4,happy
1557645963.02856,43.074731,13.091912,8.897561,9.962275,15.433478,24.335513,16.414817,10.142972,21.512716,31.647869,18.449303,5.486381,8.19251,8.544659,13.459564,5.285513,8.58778,5.32239,18.971477,29.212451,11.220815,8.915894,8.374911,8.802719,15.958648,4,4,4,4,4,happy
1557645963.1545,42.620864,13.515567,8.241331,11.551853,14.771719,18.939858,13.239592,8.28543,22.822204,30.498962,18.5967,4.697929,6.915301,9.674393,12.278173,6.529064,8.181047,5.472819,18.237143,33.48025,13.285048,8.831709,7.11338,10.328729,13.789816,4,4,4,4,4,happy
1557645963.28045,38.480905,13.021567,7.489755,13.268788,14.316658,14.022963,9.914297,6.498609,24.162176,29.44695,18.404747,3.873469,5.386332,11.089187,11.447199,7.594825,7.382116,5.909964,18.094393,38.562727,14.322832,8.401757,5.652395,11.812384,12.167628,4,4,4,4,4,happy
1557645963.4068,32.968562,11.683696,6.706598,14.614823,14.23451,10.428982,7.068867,4.959097,25.075958,28.791794,17.124171,3.217122,3.935828,12.482002,11.225954,7.945009,6.418784,6.221322,18.019097,42.977113,14.052149,7.588364,4.253016,12.849626,11.346294,4,4,4,4,4,happy
1557645963.53264,28.031503,10.023756,5.952124,15.257036,14.574066,8.299749,5.052697,3.821211,25.266472,28.89409,15.352458,2.824921,2.874984,13.5648,11.790276,7.759544,5.590417,6.219514,17.753693,45.436028,12.971922,6.622842,3.198128,13.266993,11.293013,4,4,4,4,4,happy
1557645963.65879,27.645956,8.945784,5.27086,15.121031,15.200719,7.182373,3.793841,3.113043,24.734408,29.840399,12.727124,2.672415,2.349128,14.160368,13.107878,6.774889,5.090627,5.963271,17.249914,45.29339,12.43645,5.872655,2.614431,13.168705,11.746824,4,4,4,4,4,happy
1557645963.78504,35.933773,9.104824,4.716716,14.446878,15.849176,6.278766,3.001688,2.767312,23.747202,31.317794,9.563293,2.602016,2.286076,14.252144,14.879936,5.874086,4.871181,5.596246,16.881128,42.720872,14.330766,5.569061,2.451365,12.926943,12.392552,4,4,4,4,4,happy
1557645963.91128,55.080873,10.785266,4.409984,13.744448,16.236878,5.513393,2.498411,2.693467,22.894996,32.736649,6.915851,2.506448,2.516013,14.03963,16.60475,5.018928,4.801554,5.291473,17.171584,38.522721,20.668453,5.784206,2.543792,13.038072,12.974901,4,4,4,4,4,happy
1557645964.03743,81.250524,13.472801,4.411514,13.49678,16.065917,4.64616,2.220639,2.776456,22.729487,33.242745,4.379744,2.36407,2.882625,13.740915,17.66929,4.388336,4.753396,5.174823,18.306421,33.724982,28.683769,6.452807,2.685532,13.775187,13.229169,4,4,4,4,4,happy
