TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_T7,CQ_Pz,CQ_T8,CQ_AF4,class
1557645227.76059,30.230348,4.787411,1.991859,1.090822,1.375645,1.194415,0.590763,0.368039,1.215126,2.427472,6.253648,3.936254,1.469757,1.5267,2.08582,2.120551,2.277936,1.01552,3.195582,4.550597,12.195192,1.723409,0.972896,0.573864,1.032708,4,4,4,4,4,sad
1557645227.88665,21.947145,4.219637,1.63898,1.271549,1.527548,1.285279,0.596694,0.380079,1.359151,2.460178,4.894181,4.054312,1.576696,1.634701,2.157069,1.743638,2.241472,0.800494,3.306388,4.862326,9.222023,1.705053,0.758286,0.620206,1.12194,4,4,4,4,4,sad
1557645228.01292,14.587842,3.771941,1.40128,1.529167,1.638347,1.305514,0.587666,0.436047,1.497196,2.411067,3.84954,3.786436,1.619555,1.674024,2.125634,1.621052,2.124774,0.66538,3.411288,4.915166,6.612398,1.702964,0.65546,0.70201,1.260797,4,4,4,4,4,sad
1557645228.13909,12.055338,3.930343,1.458025,1.844547,1.67072,1.40029,0.561463,0.52429,1.577686,2.27742,3.286616,3.281815,1.603475,1.639198,2.017407,1.510528,1.931673,0.711474,3.568348,4.655453,4.17684,1.728173,0.682139,0.827433,1.423382,4,4,4,4,4,sad
1557645228.26536,17.838473,4.918007,1.899889,2.171481,1.612152,1.6265,0.527142,0.624143,1.55973,2.110394,4.47348,2.760265,1.559924,1.576502,1.888677,1.669825,1.710598,0.962537,3.777698,4.165796,4.574569,1.816488,0.839204,0.985768,1.567932,4,4,4,4,4,sad
1557645228.39113,30.138913,6.536139,2.635622,2.447607,1.481963,2.133984,0.49685,0.709971,1.43867,1.981041,7.089383,2.44555,1.551865,1.557497,1.795439,1.769068,1.549757,1.387154,3.966511,3.620378,5.718738,1.989494,1.089777,1.158911,1.654919,4,4,4,4,4,sad
1557645228.5174,44.663473,8.277846,3.453299,2.6173,1.328481,2.899646,0.477969,0.756253,1.255229,1.934166,11.858746,2.463005,1.640515,1.623205,1.761554,2.037752,1.529671,1.897079,4.03176,3.196885,9.370218,2.296372,1.390041,1.32337,1.668798,4,4,4,4,4,sad
1557645228.64317,56.038341,9.508645,4.060887,2.65209,1.201897,3.818225,0.472762,0.754413,1.072358,1.962536,16.647145,2.732076,1.862557,1.763358,1.7675,2.226021,1.691161,2.424658,3.89504,2.991234,12.639842,2.696848,1.69984,1.462349,1.622872,4,4,4,4,4,sad
1557645228.76933,60.324815,9.733344,4.258928,2.564553,1.127363,4.710902,0.482242,0.710005,0.948622,2.014636,20.923572,3.225592,2.212254,1.939705,1.768228,2.521896,2.019572,2.908082,3.537861,2.981177,16.160229,3.135584,1.981122,1.571598,1.550472,4,4,4,4,4,sad
1557645228.8955,57.611036,8.799403,3.983452,2.39569,1.101928,5.319906,0.514871,0.638839,0.928346,2.031073,23.022574,3.854743,2.596832,2.109908,1.7246,2.660767,2.393383,3.27817,3.013867,3.068043,17.918523,3.505323,2.178654,1.666012,1.494005,4,4,4,4,4,sad
