TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_T7,CQ_Pz,CQ_T8,CQ_AF4,class
1557649021.01702,2.651073,1.459442,1.853251,1.034371,0.452443,3.549363,1.918878,1.841935,0.465917,0.487773,13.753128,5.507359,1.599888,1.549342,0.834551,0.675692,0.327293,0.315325,0.510215,0.319738,2.868642,1.662951,1.361937,1.424423,0.392169,4,4,4,4,4,sad
1557649021.14347,2.509196,1.433779,1.704283,1.143093,0.413492,3.404788,1.799142,1.839373,0.462511,0.448259,13.207977,6.35661,2.236773,1.669762,0.766009,0.716347,0.405058,0.390861,0.519086,0.345499,3.049959,1.899385,1.00607,1.425962,0.377472,4,4,4,4,4,sad
1557649021.26933,2.284376,1.61921,1.634099,1.203996,0.390836,3.548049,1.694512,1.747682,0.485495,0.41573,11.895666,7.121644,3.022897,1.660403,0.678865,0.716521,0.523936,0.514341,0.527878,0.362641,3.437892,2.279064,0.795576,1.371298,0.363342,4,4,4,4,4,sad
1557649021.39558,2.190746,1.909998,1.695475,1.212016,0.39178,3.585766,1.622154,1.554552,0.524979,0.394563,9.713505,7.412601,3.712482,1.56542,0.593724,0.70445,0.659271,0.650723,0.535159,0.375258,3.667554,2.722067,0.784762,1.30897,0.349199,4,4,4,4,4,sad
1557649021.52183,2.572764,2.193705,1.896437,1.185324,0.414001,3.562853,1.560637,1.285484,0.565367,0.386219,7.011946,7.026586,4.112856,1.481429,0.528795,0.67706,0.775205,0.76177,0.543353,0.385684,3.968008,3.113748,0.943428,1.293998,0.33524,4,4,4,4,4,sad
1557649021.64788,3.221117,2.369217,2.190173,1.149045,0.443409,3.38542,1.485734,0.993535,0.591215,0.389547,4.53801,6.053746,4.15269,1.515666,0.499451,0.672678,0.845188,0.818131,0.557862,0.39306,4.067087,3.340069,1.193534,1.346758,0.322452,4,4,4,4,4,sad
1557649021.77393,4.262915,2.391513,2.466737,1.122158,0.461848,3.086437,1.368893,0.731602,0.59272,0.401479,2.812908,4.856087,3.883394,1.712413,0.517935,0.716997,0.85742,0.81474,0.578058,0.392722,4.144987,3.328142,1.433361,1.438316,0.313694,4,4,4,4,4,sad
1557649021.89999,5.191889,2.266832,2.622138,1.110746,0.457503,2.711599,1.195115,0.53323,0.574385,0.418436,2.005255,3.822342,3.43524,2.034945,0.586786,0.821055,0.817331,0.754049,0.594126,0.380072,4.287474,3.077475,1.595789,1.51207,0.317283,4,4,4,4,4,sad
1557649022.02604,5.584947,2.05737,2.608481,1.107174,0.432707,2.297426,0.989267,0.41454,0.555088,0.435787,1.868249,3.207918,2.994513,2.397524,0.694309,0.993001,0.746076,0.654712,0.593115,0.356209,4.27748,2.691235,1.679811,1.522393,0.345251,4,4,4,4,4,sad
1557649022.15189,5.560602,1.85726,2.44943,1.093654,0.401949,1.902285,0.806514,0.378018,0.553833,0.447656,2.135911,3.002503,2.750363,2.729895,0.820824,1.205262,0.670922,0.548021,0.571136,0.330077,4.555896,2.345953,1.754351,1.476016,0.404444,4,4,4,4,4,sad
