TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_T7,CQ_Pz,CQ_T8,CQ_AF4,class
1557656111.41316,7.681129,5.036616,2.490908,1.541018,0.563157,3.502059,2.224714,1.088086,1.593179,0.894911,1.698229,2.443263,1.448387,0.818269,0.279896,59.989725,27.944042,3.356425,5.240429,2.257223,581.679257,171.36796,59.47442,33.035783,9.382752,4,4,2,4,4,happy
1557656111.53904,8.977609,4.712285,2.445204,1.478852,0.592666,3.298288,2.035148,1.009505,1.625525,0.95644,1.745775,2.020191,1.366933,0.958093,0.294727,59.945158,20.543183,3.381262,5.061132,2.317038,259.363635,79.418678,23.964971,14.678681,4.214745,4,4,2,4,4,happy
1557656111.66523,11.381832,4.444781,2.394648,1.401021,0.641323,3.046145,1.713127,1.021935,1.657935,1.020873,1.745719,1.596984,1.255841,1.019661,0.330408,56.18818,13.910365,3.313959,4.866117,2.437673,82.364938,30.394031,6.158719,5.078679,1.599771,4,4,2,4,4,happy
1557656111.79132,12.998217,4.261264,2.372909,1.351573,0.684948,2.673308,1.363847,1.072049,1.709891,1.076408,1.595891,1.251773,1.151358,0.999313,0.377031,49.255876,9.177662,3.094762,4.764182,2.580365,21.734513,13.418079,0.983651,1.938975,0.796277,4,4,2,4,4,happy
1557656111.9173,14.5497,4.08772,2.424347,1.356646,0.704743,2.21935,1.069674,1.118624,1.799794,1.117854,1.423461,1.022298,1.082017,0.921965,0.418925,41.278074,6.455404,2.73446,4.871065,2.681296,9.311391,9.474964,0.729895,1.522415,0.699535,4,4,2,4,4,happy
1557656112.04329,14.662492,3.865956,2.573413,1.416719,0.701536,1.788398,0.859864,1.13842,1.920655,1.144361,1.242227,0.901731,1.044354,0.825646,0.441233,33.984786,5.190071,2.383284,5.182983,2.67161,5.599086,7.464866,1.081459,1.571643,0.685286,4,4,2,4,4,happy
1557656112.16938,14.2235,3.576718,2.792466,1.505349,0.688248,1.42716,0.733689,1.14566,2.029115,1.158425,1.201891,0.867293,1.015037,0.744476,0.43635,28.617339,4.764344,2.175993,5.5451,2.508113,5.032701,6.135563,1.71358,1.72491,0.67627,4,4,2,4,4,happy
1557656112.29526,12.839496,3.285342,2.997338,1.580267,0.677964,1.303385,0.683697,1.158691,2.067385,1.160504,1.299244,0.887862,0.965302,0.698191,0.40685,25.711167,4.81462,2.207457,5.70729,2.201365,5.012264,5.813119,2.545692,1.956145,0.662523,4,4,2,4,4,happy
1557656112.42145,11.219488,3.094128,3.122696,1.595815,0.681604,1.311876,0.744049,1.200843,2.004897,1.147507,1.538331,0.930357,0.878849,0.686008,0.362972,24.084085,5.01226,2.441633,5.490734,1.820844,7.914494,6.68072,3.533832,2.325379,0.653233,4,4,2,4,4,happy
1557656112.54753,10.123124,3.197775,3.161515,1.540339,0.706004,1.448273,0.947549,1.290992,1.851345,1.116391,1.798252,0.973446,0.756217,0.692615,0.31846,22.413617,5.023756,2.698803,4.884013,1.467836,15.383328,8.735222,4.681899,2.913058,0.672112,4,4,2,4,4,happy
