TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_T7,CQ_Pz,CQ_T8,CQ_AF4,class
1557655765.89871,21.184976,9.246701,2.482796,1.955772,0.76399,1290.654961,75.922744,69.165708,26.723896,7.778662,2.903124,0.567518,1.016366,1.315589,15.837358,3.180396,2.485238,4.33885,1.851299,2.7868,14.535854,5.863393,2.712626,1.457272,0.660155,4,4,0,4,4,happy
1557655766.02479,25.280805,11.3124,2.414807,2.085089,0.660418,1273.85396,67.133389,66.928702,26.175058,7.518211,2.483905,0.560736,1.217577,1.321204,15.34212,3.230745,2.37738,4.108465,2.152534,2.894852,15.313836,6.449255,2.228746,1.320801,0.585512,4,4,0,4,4,happy
1557655766.15067,27.23293,12.259346,2.535322,2.128486,0.589976,1183.128727,60.136821,66.046603,24.441442,6.750521,2.079416,0.554684,1.464016,1.32052,14.969083,3.41546,2.516142,3.947107,2.375741,2.931889,15.333728,6.584677,1.903277,1.199897,0.508714,4,4,0,4,4,happy
1557655766.27675,26.031517,11.76466,2.961217,2.077682,0.564679,1092.094817,53.171682,69.4541,22.506984,5.812431,1.766245,0.533985,1.690666,1.32952,14.792056,3.440003,2.770489,3.812871,2.47971,2.86791,14.473224,6.239306,1.853148,1.112286,0.453586,4,4,0,4,4,happy
1557655766.40284,22.016915,10.017714,3.651737,1.946493,0.580267,1061.717601,50.453619,79.146028,21.479254,5.115023,1.565853,0.516171,1.858864,1.351206,14.783096,3.71425,3.00496,3.58187,2.446189,2.709756,13.008226,5.458336,2.073293,1.049878,0.437337,4,4,0,4,4,happy
1557655766.52892,16.214352,7.617346,4.426761,1.763295,0.620855,1098.420528,52.881596,92.201862,21.586254,4.843836,1.484422,0.535472,1.961782,1.383668,14.836526,3.799371,3.086731,3.219982,2.283143,2.512402,10.992686,4.404658,2.45684,0.988076,0.462486,4,4,0,4,4,happy
1557655766.6551,10.424752,5.309619,5.007383,1.553869,0.665711,1148.326579,57.267791,101.808875,21.944525,4.869971,1.48942,0.605344,2.012386,1.417562,14.848676,3.818065,2.968246,2.796093,2.051313,2.364153,8.853037,3.349079,2.82847,0.909641,0.512362,4,4,0,4,4,happy
1557655766.78118,6.308429,3.711655,5.164275,1.351018,0.702701,1130.453047,58.514914,101.1473,21.227532,4.880909,1.551969,0.70282,2.032517,1.45792,14.7789,3.876264,2.6939,2.417751,1.847574,2.369661,7.043111,2.595096,3.017288,0.824695,0.562186,4,4,0,4,4,happy
1557655766.90737,4.452423,3.087228,4.825136,1.172022,0.72393,989.868104,52.881052,87.561773,18.580895,4.614662,1.654729,0.778801,2.02399,1.496599,14.668037,4.165854,2.388087,2.155755,1.768648,2.637899,5.746714,2.351897,2.935131,0.752977,0.591686,4,4,0,4,4,happy
1557655767.03365,4.381687,3.336821,4.113031,1.009949,0.71991,743.812091,41.023517,64.60305,14.213891,4.035697,1.790244,0.802495,1.968907,1.51025,14.607096,4.8878,2.199278,2.059652,1.856347,3.240914,5.094899,2.682135,2.62634,0.707775,0.596431,4,4,0,4,4,happy
