TimeStamp,SCA_ENG,RAW_ENG,MIN_ENG,MAX_ENG,ACT_ENG,SCA_VAL,RAW_VAL,MIN_VAL,MAX_VAL,ACT_VAL,SCA_MED,RAW_MED,MIN_MED,MAX_MED,ACT_MED,SCA_FRU,RAW_FRU,MIN_FRU,MAX_FRU,ACT_FRU,SCA_FOC,RAW_FOC,MIN_FOC,MAX_FOC,ACT_FOC,SCA_EXC,RAW_EXC,MIN_EXC,MAX_EXC,ACT_EXC,SCA_LEX,CQ_AF3,CQ_T7,CQ_Pz,CQ_T8,CQ_AF4
1557627433.16985,0.466607,0.451058,-0.090973,1.1021,1,0.530787,0.786453,-46.327,43.4358,1,0.251112,-0.224763,-0.98754,1.55064,1,0.274097,-0.193483,-0.304419,0.0493557,1,0.376266,0.524193,0.471971,0.617319,1,0.173687,2.87049,-0.71864,18.7232,1,0.252656,4,4,2,3,4
1557627443.25626,0.36612,0.364817,-0.0901356,1.10038,1,0.531246,0.85591,-46.2031,43.3063,1,0.258255,-0.238489,-0.988003,1.54688,1,0.267195,-0.197034,-0.304605,0.0491334,1,0.273874,0.515349,0.47208,0.617077,1,0.176712,3.22217,-0.74732,18.7035,1,0.231987,4,4,2,4,4
1557627453.35906,0.526459,0.564722,-0.0893134,1.09881,1,0.533718,0.979397,-46.0771,43.1764,1,0.262653,-0.190552,-0.989026,1.54342,1,0.282096,-0.186803,-0.304805,0.0489176,1,0.361668,0.532142,0.47222,0.616825,1,0.31468,5.94918,-0.751619,18.6732,1,0.23936,4,3,2,4,4
1557627463.42335,0.411276,0.392706,-0.0881021,1.0973,1,0.543252,1.85776,-45.9489,43.0487,1,0.342701,-0.0410674,-0.98785,1.53915,1,0.388208,-0.163599,-0.304596,0.0484668,1,0.356272,0.520455,0.472379,0.616628,1,0.30485,6.15072,-0.743143,18.6369,1,0.253463,4,4,2,4,3
1557627473.48477,0.283592,0.254269,-0.0888677,1.09633,1,0.623667,9.46872,-45.8273,42.9521,1,0.311701,-0.146041,-0.986124,1.53478,1,0.281114,-0.198534,-0.304452,0.0480527,1,0.228008,0.508499,0.47243,0.616497,1,0.658832,12.7301,-0.726194,18.635,1,0.322309,3,3,2,3,3
1557627483.61652,0.574028,0.580383,-0.0905149,1.09693,1,0.577379,3.17408,-45.7372,42.9275,1,0.51591,0.350105,-0.985239,1.5327,1,0.426909,-0.148856,-0.304627,0.0480688,1,0.453165,0.531913,0.472347,0.61669,1,0.752619,13.3333,-0.723301,18.7191,1,0.462082,4,4,4,3,3
1557627493.67401,0.42564,0.409326,-0.0892488,1.09563,1,0.5457,1.91736,-45.5982,42.8077,1,0.3597,-0.0221314,-0.983136,1.53194,1,0.3437,-0.172012,-0.30438,0.047797,1,0.385446,0.536903,0.472475,0.616591,1,0.751049,13.3037,-0.722975,18.8103,1,0.579858,4,4,3,3,4
1557627503.76815,0.409602,0.455756,-0.0887695,1.09403,1,0.552943,2.21725,-45.4629,42.6861,1,0.467901,0.177007,-0.980711,1.52909,1,0.434845,-0.146999,-0.30414,0.0475024,1,0.408613,0.529414,0.472631,0.616526,1,0.630452,10.939,-0.71425,18.8762,1,0.651028,4,4,3,3,4
1557627513.85081,0.607832,0.62262,-0.0876719,1.09292,1,0.552793,2.43287,-45.3309,42.5651,1,0.412531,0.133405,-0.977982,1.52577,1,0.363645,-0.166979,-0.303854,0.0470937,1,0.487552,0.551624,0.472782,0.616452,1,0.694717,12.3899,-0.695749,18.9108,1,0.676081,4,4,3,3,4
1557627523.93375,0.598714,0.603785,-0.0863438,1.09289,1,0.545927,2.32149,-45.1984,42.4459,1,0.418878,0.179498,-0.974901,1.52213,1,0.408062,-0.145195,-0.303477,0.0465519,1,0.513656,0.544446,0.472829,0.61688,1,0.645434,11.7094,-0.680306,18.9573,1,0.690217,3,4,2,3,3
1557627534.02015,0.696422,0.737749,-0.0854654,1.09363,1,0.555376,1.84094,-45.0653,42.33,1,0.426851,-0.0118006,-0.972531,1.52051,1,0.391875,-0.173235,-0.303283,0.0464787,1,0.544393,0.550241,0.472943,0.617078,1,0.62046,10.4178,-0.663481,18.9976,1,0.681162,4,4,3,3,3
1557627544.11501,0.582523,0.551186,-0.0848302,1.09505,1,0.533788,0.977717,-44.945,42.2113,1,0.329877,-0.0555725,-0.971004,1.51654,1,0.345072,-0.17188,-0.303096,0.0459997,1,0.446611,0.538562,0.473069,0.617199,1,0.393686,7.02945,-0.639631,18.9863,1,0.615902,4,4,0,4,4
