TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_T7,CQ_Pz,CQ_T8,CQ_AF4,class
1557626333.86982,1.576645,1.429474,1.275619,0.631098,1.072827,0.967563,0.491376,0.951571,1.14547,0.637519,1.526745,0.408115,0.371021,0.474523,0.360379,1.259386,0.847765,0.713313,0.648998,0.812335,3.001345,1.501099,0.915831,0.599123,0.55248,4,4,1,4,4,sad
1557626333.9971,1.734746,1.559334,1.804579,0.533893,1.17301,0.73064,0.616107,0.967178,1.161097,0.65196,1.507221,0.52931,0.436779,0.412806,0.367544,1.630591,1.005606,0.810385,0.600419,0.82336,3.102763,1.808071,1.123019,0.554481,0.549936,4,4,1,4,4,sad
1557626334.12438,1.899016,1.687829,2.291946,0.448522,1.236179,0.712813,0.837115,1.020971,1.164014,0.656848,1.400767,0.729083,0.530416,0.385929,0.370476,2.020866,1.142593,0.892153,0.595999,0.832148,3.069554,2.063057,1.402229,0.535681,0.56196,4,4,1,4,4,sad
1557626334.25127,1.925801,1.733733,2.586441,0.404652,1.23927,0.816752,1.111485,1.073101,1.15142,0.666564,1.227285,1.010711,0.652436,0.39688,0.384054,2.370915,1.231355,0.929682,0.607455,0.825222,2.818016,2.235945,1.667266,0.545395,0.600212,4,4,1,4,4,sad
1557626334.37756,1.780508,1.669807,2.594256,0.426241,1.181559,0.954821,1.374058,1.096381,1.132338,0.697027,1.02224,1.339797,0.779465,0.433915,0.420026,2.671497,1.260924,0.900297,0.633333,0.800022,2.402974,2.331509,1.823848,0.604037,0.664505,4,4,1,4,4,sad
1557626334.50344,1.570683,1.531709,2.321284,0.52436,1.08438,1.12288,1.564838,1.074244,1.118463,0.752077,0.843764,1.64807,0.871682,0.477192,0.478297,2.877124,1.232457,0.809221,0.702755,0.766177,1.944576,2.365839,1.824087,0.735869,0.741398,4,4,1,4,4,sad
1557626334.62953,1.359734,1.383634,1.867885,0.677348,0.977801,1.290169,1.661366,0.993074,1.107468,0.816121,0.719363,1.856187,0.899964,0.515988,0.546926,3.043394,1.157198,0.681827,0.844947,0.737724,1.626415,2.357868,1.690445,0.943754,0.809741,4,4,1,4,4,sad
1557626334.75552,1.257846,1.296177,1.390263,0.845051,0.884006,1.427262,1.690139,0.866012,1.08876,0.859192,0.679757,1.906737,0.864462,0.544773,0.604514,3.068651,1.05644,0.557238,1.051946,0.721173,1.503568,2.3091,1.501703,1.198575,0.850651,4,4,1,4,4,sad
1557626334.88151,1.272037,1.30901,1.027923,0.985194,0.808305,1.553226,1.699571,0.735504,1.050484,0.852648,0.742071,1.781731,0.785736,0.567224,0.632679,3.031375,0.955115,0.468373,1.269008,0.71065,1.629266,2.190543,1.346715,1.444657,0.859204,4,4,1,4,4,sad
1557626335.00769,1.397324,1.421513,0.858344,1.067426,0.745976,1.608854,1.727467,0.662637,0.995589,0.786216,0.885746,1.515897,0.700392,0.587265,0.627637,2.904121,0.883491,0.435242,1.41794,0.693275,1.886896,1.971791,1.292519,1.615319,0.843304,4,4,1,4,4,sad
1557626335.13399,1.580133,1.596528,0.869055,1.0787,0.69412,1.5976,1.776863,0.687186,0.939918,0.677711,1.097135,1.189803,0.641512,0.603075,0.601722,2.775408,0.873863,0.45812,1.435057,0.65553,2.142281,1.662326,1.347062,1.65748,0.824599,4,4,1,4,4,sad
1557626335.25958,1.751233,1.778377,0.984217,1.028944,0.656048,1.50957,1.805737,0.8027,0.902276,0.568252,1.319641,0.890822,0.616575,0.60651,0.5758,2.674066,0.953293,0.512242,1.30844,0.594027,2.262757,1.315319,1.458416,1.560943,0.830422,4,4,1,4,4,sad
1557626335.38567,1.846018,1.910403,1.118787,0.946919,0.639875,1.357645,1.770508,0.983065,0.884631,0.508265,1.487788,0.676175,0.604147,0.58749,0.56644,2.593066,1.126217,0.565823,1.087789,0.521432,2.175855,0.991521,1.55394,1.364402,0.881204,4,4,1,4,4,sad
