TimeStamp,SCA_ENG,RAW_ENG,MIN_ENG,MAX_ENG,ACT_ENG,SCA_VAL,RAW_VAL,MIN_VAL,MAX_VAL,ACT_VAL,SCA_MED,RAW_MED,MIN_MED,MAX_MED,ACT_MED,SCA_FRU,RAW_FRU,MIN_FRU,MAX_FRU,ACT_FRU,SCA_FOC,RAW_FOC,MIN_FOC,MAX_FOC,ACT_FOC,SCA_EXC,RAW_EXC,MIN_EXC,MAX_EXC,ACT_EXC,SCA_LEX,CQ_AF3,CQ_T7,CQ_Pz,CQ_T8,CQ_AF4
1557626342.56600,0.526915,0.511059,-0.281407,1.21219,1,0.516595,1.1802,-70.4463,69.1235,1,0.301232,-0.0548993,-1.19402,2.23321,1,0.364989,-0.153135,-0.33971,0.12628,1,0.415693,0.529303,0.448534,0.64673,1,0.225222,6.36739,1.09663,22.8053,1,0.244943,4,4,1,4,4
1557626352.67005,0.60911,0.642072,-0.275862,1.20912,1,0.525113,2.37505,-69.9851,68.5977,1,0.318384,0.0059747,-1.1906,2.21885,1,0.35296,-0.166099,-0.338541,0.124322,1,0.386923,0.531458,0.449018,0.646205,1,0.213289,6.29569,1.07204,22.7133,1,0.241346,4,4,1,4,4
1557626362.73032,0.561093,0.555632,-0.270914,1.20681,1,0.531298,2.55482,-69.4998,68.0799,1,0.448889,0.36349,-1.18329,2.20727,1,0.4322,-0.131055,-0.337488,0.122823,1,0.343416,0.525232,0.449527,0.645779,1,0.208291,5.89758,1.04242,22.6262,1,0.230638,4,4,1,4,4
1557626372.84057,0.678724,0.73277,-0.266477,1.20675,1,0.525548,1.95794,-69.0298,67.5721,1,0.398669,0.253289,-1.17409,2.19468,1,0.404545,-0.141092,-0.336221,0.121399,1,0.41722,0.533575,0.450055,0.645316,1,0.190554,5.48116,0.993023,22.552,1,0.216577,4,4,1,4,4
1557626382.90806,0.647769,0.612151,-0.26271,1.2089,1,0.522338,1.58475,-68.5818,67.0789,1,0.343254,0.0493835,-1.16544,2.18157,1,0.350731,-0.162975,-0.335057,0.119789,1,0.406743,0.533659,0.450578,0.645022,1,0.184745,5.228,0.935995,22.4846,1,0.208011,4,4,1,4,4
1557626392.97442,0.578141,0.572315,-0.257674,1.20737,1,0.516701,1.01138,-68.1686,66.5979,1,0.32414,-0.0213207,-1.15951,2.16717,1,0.369934,-0.1604,-0.333999,0.118006,1,0.468067,0.540944,0.451083,0.645021,1,0.188468,5.24757,0.872662,22.4228,1,0.197723,4,4,1,3,4
1557626403.09190,0.598394,0.647157,-0.252518,1.20461,1,0.519389,1.29171,-67.7679,66.1288,1,0.316414,-0.00538285,-1.15513,2.1533,1,0.351704,-0.163812,-0.333,0.116209,1,0.400512,0.538041,0.451542,0.644838,1,0.169716,4.6632,0.806862,22.3647,1,0.190119,4,4,1,4,4
1557626413.17906,0.691132,0.668216,-0.248924,1.2066,1,0.518536,1.12344,-67.3739,65.6691,1,0.353777,0.0665524,-1.14965,2.13968,1,0.352849,-0.16643,-0.332016,0.114397,1,0.388882,0.51947,0.451987,0.644872,1,0.184287,5.22051,0.729046,22.3164,1,0.183032,4,4,1,3,4
1557626423.26564,0.511947,0.474234,-0.244889,1.20621,1,0.517871,1.00692,-66.9911,65.2196,1,0.299116,-0.00854265,-1.14578,2.12697,1,0.320633,-0.169827,-0.331482,0.112914,1,0.427726,0.54108,0.452402,0.644554,1,0.151417,3.91131,0.65239,22.2693,1,0.178478,4,4,1,4,4
1557626433.35242,0.515293,0.525414,-0.240861,1.20154,1,0.519272,1.07738,-66.6104,64.7793,1,0.302855,-0.106338,-1.1417,2.11422,1,0.32725,-0.174697,-0.330708,0.111254,1,0.353943,0.525706,0.452894,0.644122,1,0.160436,4.38717,0.550905,22.2407,1,0.169928,4,4,1,4,3
1557626443.43909,0.521288,0.477457,-0.236195,1.19836,1,0.519901,1.08309,-66.2364,64.3458,1,0.297274,-0.0751665,-1.13982,2.10208,1,0.338743,-0.17021,-0.330057,0.109683,1,0.339677,0.523006,0.453374,0.643441,1,0.176765,4.20686,0.484765,22.188,1,0.171747,4,4,1,3,3
1557626453.52548,0.533974,0.5291,-0.23175,1.19463,1,0.519873,1.19449,-65.87,63.922,1,0.284113,-0.0960033,-1.13888,2.09064,1,0.322337,-0.173139,-0.329475,0.108153,1,0.362002,0.530667,0.453821,0.6428,1,0.127851,2.85337,0.369098,22.1738,1,0.162849,4,4,1,4,4
