TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_T7,CQ_Pz,CQ_T8,CQ_AF4,class
1557623516.36765,18077.202613,5974.669402,2045.077999,415.542075,98.406422,1530.900692,368.692119,240.010036,58.936109,18.201886,4100.96724,1844.265777,1256.387101,624.772872,113.365,1449.813106,294.137162,123.894522,18.524067,9.67859,3537.160519,774.72498,220.113681,25.153553,11.520135,4,4,4,4,2,happy
1557623516.49381,14584.272334,5546.350509,2032.286861,420.640309,93.332584,2151.815805,441.561689,290.058833,80.83912,24.862674,3375.173336,1410.426239,958.327783,469.90245,86.173236,2468.562117,505.306912,201.04646,29.050703,12.807431,5676.770226,1236.811067,381.543936,42.267711,17.515825,2,1,4,4,4,happy
1557623516.61966,10869.119838,4578.537976,1867.995941,386.439249,80.611867,3041.067609,547.141458,352.05621,104.033755,31.460142,2579.830805,952.030556,642.577409,296.850847,56.750098,3781.711575,768.109758,291.660157,40.490818,16.095875,8361.214249,1783.928935,569.081602,61.702877,24.326132,2,1,4,4,4,happy
1557623516.74562,7702.632593,3350.125458,1550.626682,318.855691,62.888533,3769.796796,640.868881,399.932621,121.135336,35.751167,1911.234276,594.830256,392.376302,153.711844,33.076155,4858.854443,996.523132,365.358174,49.091794,18.444908,10520.680588,2241.901165,724.015815,77.556014,29.838094,2,1,4,4,4,happy
1557623516.87168,5268.263864,2170.586219,1132.841867,233.642988,44.131311,4116.690769,676.239601,409.463514,125.357631,35.93917,1448.797956,385.306699,241.075121,64.95221,18.606815,5399.875691,1106.72101,395.144875,51.712217,18.877184,11539.733712,2442.584161,792.219927,84.241061,31.996545,1,0,4,4,2,happy
1557623516.99774,3680.119648,1257.326366,716.778321,150.310866,28.122618,3789.329527,627.035438,367.730164,113.570919,31.627467,1122.63336,287.988245,167.226233,25.901854,11.821068,5075.860298,1053.004734,367.550013,47.186247,17.035063,10790.942365,2296.439491,744.87635,78.989145,29.832548,1,0,4,4,2,happy
1557623517.12389,2529.655736,680.628166,385.53362,85.169783,16.930851,3031.71615,503.032172,285.236969,88.598848,24.093921,852.7799,229.226091,125.162298,14.202797,8.592255,4118.076953,856.396675,292.150483,36.921068,13.387086,8734.294597,1851.836303,597.99785,63.355567,23.981111,1,0,4,4,2,happy
1557623517.24995,1682.968838,360.025425,174.461324,44.003437,10.49029,2001.344987,338.092561,185.900085,57.974722,15.710033,569.629313,160.481321,83.335668,9.439283,5.823437,2785.253276,584.638862,194.636829,24.308881,9.051644,5914.982308,1258.099636,402.400142,42.588483,16.4063,1,0,4,4,2,happy
1557623517.37591,1118.188762,202.022528,68.884861,23.522581,7.464085,1064.11169,183.759703,97.631983,30.563602,8.837894,311.694019,91.569227,44.873298,5.424808,3.307782,1519.905165,322.841682,104.499781,13.084891,5.295292,3258.987988,692.380524,218.298157,23.275346,9.448328,1,0,4,4,2,happy
1557623517.50217,739.093381,135.727143,35.499035,15.548479,6.263737,408.618414,76.751197,38.52163,12.282687,4.777989,125.618883,40.6354,18.258316,2.582584,1.606119,615.795278,135.272502,41.842336,5.638071,2.945519,1345.40968,289.974298,88.826081,9.999769,4.73284,4,0,4,2,3,happy
1557623517.62823,508.762886,108.797732,32.890829,12.270636,5.688578,99.028465,23.893719,11.194702,3.930524,3.393677,33.520837,12.972408,5.144296,1.093312,0.836109,155.980026,39.04293,11.074012,2.26457,2.081613,367.340217,85.230394,25.214014,3.861707,2.581291,4,0,4,2,3,happy
1557623517.75438,333.389078,90.466364,33.05506,9.819033,5.156966,23.91263,10.534645,5.109394,2.365504,3.567358,6.05207,3.512793,1.374219,0.654025,0.721779,34.835305,10.194519,2.797888,1.709861,2.177182,102.369679,26.241752,9.343717,3.028012,2.206779,4,0,4,2,3,happy
1557623517.88064,241.837357,74.876959,32.376349,8.003632,4.805076,32.644342,15.469611,7.176147,3.389119,4.198851,3.952089,2.710093,1.213225,0.739374,0.869655,36.276405,11.172588,3.404636,2.314837,2.561527,109.221958,32.367133,12.488553,4.468909,2.510711,2,4,4,4,4,happy
1557623518.0066,172.372222,64.28654,32.097172,7.149145,4.88182,41.630297,25.792846,10.881844,4.744981,4.857408,4.22787,3.886164,1.610485,0.975229,1.052515,42.72347,18.146393,5.7397,3.144032,2.865954,150.692049,53.096772,18.343052,6.207393,2.917629,2,4,4,4,4,happy
1557623518.13266,163.147124,58.020191,31.91646,7.059276,5.456678,56.286452,36.965959,14.587932,6.047983,5.55145,4.695636,5.172879,2.052645,1.235094,1.22404,62.027442,26.32562,8.675392,3.999778,3.039485,202.873354,74.220528,24.113783,7.749344,3.404348,2,4,4,4,4,happy
1557623518.25871,145.330335,55.350962,31.545834,7.389199,6.364929,59.477902,46.187304,17.460423,7.04911,6.276855,5.269129,6.430605,2.459448,1.49955,1.375253,62.638326,33.64745,11.440722,4.683739,3.097231,218.458374,90.207699,28.543706,8.725561,3.971643,2,4,4,4,4,happy
1557623518.38467,165.391549,55.265769,30.641813,7.993592,7.273112,64.087437,50.769824,18.5352,7.620209,6.940366,10.521922,8.47328,2.751644,1.885382,1.52465,68.587213,38.051618,13.218448,5.035263,3.090704,228.524637,97.407938,30.253039,8.988803,4.56315,4,4,4,4,4,happy
1557623518.51083,249.53697,57.846053,29.231948,8.879267,7.830824,56.594867,49.635127,17.699882,7.880305,7.410006,22.729979,12.959955,3.023094,2.578613,1.707819,56.782505,38.290689,13.527871,5.081293,3.091252,202.113862,96.26703,29.176897,8.796866,5.085688,4,4,4,4,4,happy
1557623518.63669,377.148488,63.934474,27.49023,10.083379,7.833262,50.329111,43.502886,15.222816,8.087064,7.599094,49.73802,20.97963,3.364878,3.666942,1.942285,47.118478,34.847406,12.650655,5.021975,3.178118,184.343021,90.351065,25.994045,8.664714,5.477751,4,4,4,4,4,happy
1557623518.76275,533.115099,72.874468,25.993479,11.537789,7.333205,44.3377,35.147751,12.199597,8.477599,7.50552,84.489966,31.858766,3.816687,5.025875,2.201571,32.781604,29.607287,11.219186,5.124135,3.3974,161.170485,84.027013,22.202765,9.040795,5.725183,4,4,4,4,4,happy
1557623518.8889,667.712861,81.887778,24.60874,13.031346,6.575753,37.837582,27.67781,9.677437,9.099711,7.201186,124.485147,42.950518,4.313163,6.318453,2.415825,24.02555,24.813277,10.028977,5.52249,3.721519,157.69864,80.369163,18.986605,10.021063,5.843558,4,4,4,4,4,happy
1557623519.01486,720.265048,86.96974,23.404116,14.168329,5.838327,43.21105,23.388642,8.492357,9.754892,6.770048,152.54622,50.593884,4.662097,7.131965,2.501946,22.664942,21.94702,9.448368,6.110891,4.059868,168.496597,79.014766,16.894749,11.251575,5.845344,4,4,4,4,4,happy
1557623519.14142,690.541493,84.836615,21.73519,14.538115,5.279607,45.69249,22.427058,8.758492,10.120701,6.261774,163.066043,51.913912,4.683837,7.170643,2.40531,26.593762,20.846758,9.290678,6.592508,4.289063,185.467731,77.083296,15.625245,12.113803,5.714557,4,4,4,4,4,happy
1557623519.26748,557.815999,74.850685,19.403338,13.882297,4.884069,53.034162,23.354346,9.9572,9.879606,5.691898,148.883346,46.20899,4.274745,6.402542,2.122862,36.078279,20.34442,8.995785,6.638705,4.292796,199.037514,71.078292,14.367103,12.056324,5.412608,4,4,4,4,4,happy
