TimeStamp,SCA_ENG,RAW_ENG,MIN_ENG,MAX_ENG,ACT_ENG,SCA_VAL,RAW_VAL,MIN_VAL,MAX_VAL,ACT_VAL,SCA_MED,RAW_MED,MIN_MED,MAX_MED,ACT_MED,SCA_FRU,RAW_FRU,MIN_FRU,MAX_FRU,ACT_FRU,SCA_FOC,RAW_FOC,MIN_FOC,MAX_FOC,ACT_FOC,SCA_EXC,RAW_EXC,MIN_EXC,MAX_EXC,ACT_EXC,SCA_LEX,CQ_AF3,CQ_T7,CQ_Pz,CQ_T8,CQ_AF4
1557623523.93262,0.332441,0.257823,-0.193445,1.10925,1,0.722971,18.6915,-39.3934,38.6298,1,0.600873,0.404853,-0.610651,1.11812,1,0.484254,-0.142042,-0.300625,0.0260404,1,0.258457,0.500337,0.451617,0.631968,1,0.574284,14.5117,1.80986,23.1093,1,0.444224,3,3,3,3,3
1557623534.01885,0.560355,0.524581,-0.193982,1.10885,1,0.554865,2.34924,-39.5739,38.8669,1,0.574625,0.340341,-0.609359,1.12164,1,0.492023,-0.136713,-0.30041,0.0262703,1,0.506445,0.538894,0.451602,0.632316,1,0.489931,11.7315,1.84068,23.1221,1,0.475092,4,4,4,4,4
1557623544.10570,0.633852,0.611924,-0.191835,1.1083,1,0.537895,1.96521,-39.4368,38.7352,1,0.491695,0.23881,-0.606705,1.12084,1,0.435843,-0.155337,-0.300171,0.0263096,1,0.487,0.535267,0.451793,0.632544,1,0.360308,9.74778,1.8723,23.086,1,0.460446,3,4,4,4,4
1557623554.19237,0.535022,0.496841,-0.189932,1.10761,1,0.54323,2.40387,-39.3031,38.6042,1,0.501938,0.247353,-0.603935,1.11947,1,0.464893,-0.149588,-0.299903,0.0262827,1,0.320358,0.523358,0.451956,0.632395,1,0.275095,7.81358,1.89099,23.0391,1,0.421286,4,4,4,4,3
1557623564.27875,0.535351,0.455008,-0.187825,1.10616,1,0.537627,1.9526,-39.1688,38.4747,1,0.426602,0.11132,-0.601228,1.11747,1,0.423945,-0.159517,-0.299578,0.0261141,1,0.351549,0.515713,0.452182,0.63218,1,0.179131,5.71892,1.87755,23.0019,1,0.359565,4,4,4,4,4
1557623574.36554,0.508414,0.517461,-0.185954,1.10408,1,0.545854,2.63064,-39.0368,38.3462,1,0.475135,0.283442,-0.599252,1.11508,1,0.433165,-0.150717,-0.299177,0.025669,1,0.362876,0.526007,0.452388,0.631856,1,0.189095,6.38575,1.84847,22.9729,1,0.293384,4,4,4,4,4
1557623584.45225,0.64195,0.554052,-0.184487,1.10442,1,0.54623,2.5138,-38.9016,38.2207,1,0.457448,0.228473,-0.596676,1.11335,1,0.352534,-0.170918,-0.298823,0.0252276,1,0.360463,0.522961,0.45263,0.631568,1,0.177044,6.0714,1.81741,22.9461,1,0.239119,4,4,3,4,4
1557623594.53857,0.512954,0.473289,-0.182596,1.10356,1,0.546589,2.67682,-38.7665,38.0954,1,0.401373,0.100073,-0.59414,1.11065,1,0.36975,-0.173991,-0.298458,0.0245957,1,0.37882,0.529894,0.452872,0.631341,1,0.223665,7.08028,1.7996,22.9114,1,0.213561,4,4,4,4,3
1557623604.62550,0.403836,0.335807,-0.181122,1.10162,1,0.553614,3.03231,-38.6312,37.9726,1,0.546906,0.346821,-0.591883,1.1092,1,0.403219,-0.15979,-0.298044,0.0240749,1,0.281557,0.504993,0.45308,0.631034,1,0.302544,9.06803,1.80043,22.8692,1,0.219482,4,4,4,4,4
1557623614.71205,0.524734,0.516593,-0.18041,1.09978,1,0.550356,2.67425,-38.4944,37.8507,1,0.466342,0.165282,-0.589483,1.10807,1,0.395891,-0.16531,-0.297694,0.0235643,1,0.405379,0.529336,0.453253,0.630749,1,0.298348,8.64954,1.81701,22.8222,1,0.246761,4,4,4,4,4
1557623624.79861,0.478458,0.415893,-0.178552,1.0982,1,0.549029,2.64935,-38.3627,37.7304,1,0.421558,0.223718,-0.587416,1.10572,1,0.375551,-0.161178,-0.297363,0.0230709,1,0.333954,0.517206,0.453451,0.630515,1,0.275378,8.23302,1.82864,22.7763,1,0.265718,4,4,3,4,4
1557623634.88549,0.476448,0.449895,-0.176847,1.09618,1,0.549533,2.73605,-38.2318,37.61,1,0.481725,0.229168,-0.585159,1.10402,1,0.424961,-0.157744,-0.297013,0.0226592,1,0.383808,0.52565,0.45367,0.630291,1,0.272232,8.0141,1.83703,22.7309,1,0.275805,4,4,4,4,3
