TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_T7,CQ_Pz,CQ_T8,CQ_AF4,class
1557623988.33502,6.397153,1.88892,9.154456,1.852433,1.005731,2.791938,4.32481,4.521647,2.098242,1.735547,0.602309,1.509219,1.049904,1.101877,0.889402,2.966647,2.713802,2.847165,2.72085,1.306312,7.162396,6.990073,6.333115,3.429592,1.948197,4,4,0,4,4,happy
1557623988.46108,6.550072,1.824413,9.247578,2.031039,1.059555,2.299181,4.083242,4.789791,2.15762,1.97316,0.647055,1.509052,1.158593,1.100354,0.935941,3.08791,2.665579,2.461534,2.715408,1.286688,7.056543,6.124283,6.127363,3.36655,2.085427,4,4,0,4,4,happy
1557623988.58705,6.713659,1.845532,8.520358,2.178729,1.100097,2.153647,3.804236,4.712532,2.195208,2.221319,0.771666,1.474589,1.184903,1.030156,0.963929,3.348977,2.772151,2.10566,2.439921,1.223982,7.529227,5.3855,5.45046,3.041831,2.175731,4,4,0,4,4,happy
1557623988.71302,6.673002,1.9457,7.286435,2.285523,1.110985,2.379301,3.609669,4.345982,2.232258,2.435193,0.971016,1.384447,1.114548,0.925497,0.965581,3.164933,2.889842,1.907098,1.971057,1.122343,8.198874,4.704254,4.6121,2.553351,2.192875,4,4,0,4,4,happy
1557623988.83918,6.295653,2.195178,5.930242,2.337098,1.099593,3.128641,3.527929,3.812143,2.269543,2.589377,1.216111,1.235162,0.967374,0.834847,0.937374,2.946646,2.902317,1.912495,1.450058,0.998835,8.856896,3.980635,3.891095,2.076881,2.141054,4,4,0,4,4,happy
1557623988.96515,5.63997,2.63745,4.728734,2.332941,1.097497,3.89069,3.565442,3.246624,2.295281,2.683783,1.415335,1.057084,0.790511,0.793127,0.883453,2.408369,2.773418,2.053206,1.019043,0.881885,9.036022,3.235121,3.392855,1.758358,2.052325,4,4,0,4,4,happy
1557623989.09132,4.969286,3.316569,3.787421,2.284435,1.137397,4.701965,3.659654,2.732514,2.285424,2.729023,1.552331,0.889781,0.629215,0.80482,0.81511,1.915511,2.586087,2.181323,0.757326,0.799572,8.439631,2.635537,3.030202,1.650035,1.963237,4,4,0,4,4,happy
1557623989.21728,4.443376,4.158797,3.037682,2.211521,1.229834,4.961556,3.676211,2.27436,2.228186,2.737227,1.521181,0.755694,0.502845,0.84443,0.747526,1.445709,2.439967,2.145435,0.65237,0.764585,6.971021,2.324326,2.649898,1.702823,1.898365,4,4,0,4,4,happy
1557623989.34355,4.238013,4.977693,2.365845,2.139101,1.35457,4.954518,3.502656,1.834513,2.139216,2.710806,1.446458,0.674937,0.41726,0.874094,0.694278,1.128777,2.407542,1.88846,0.636338,0.769701,5.313619,2.317775,2.142312,1.818117,1.866539,4,4,0,4,4,happy
1557623989.46962,4.356096,5.615926,1.741899,2.080709,1.46935,4.434013,3.163259,1.405289,2.053288,2.63404,1.310714,0.659892,0.36337,0.869885,0.661843,1.061801,2.484861,1.461817,0.64832,0.792997,3.665265,2.53496,1.524429,1.932327,1.863756,4,4,0,4,4,happy
1557623989.59578,4.651886,6.009836,1.266548,2.042389,1.531141,3.882129,2.772505,1.037569,2.012457,2.482759,1.256825,0.733763,0.338002,0.836148,0.647404,1.218694,2.623295,1.035,0.675643,0.812102,2.549218,2.875328,0.978329,2.046384,1.871488,4,4,0,4,4,happy
1557623989.72195,5.014513,6.14211,1.072974,2.01897,1.52457,3.204412,2.425217,0.769789,2.030671,2.253037,1.237629,0.916345,0.346642,0.797323,0.640849,1.48161,2.740088,0.762096,0.727792,0.820874,1.986935,3.243628,0.698044,2.179422,1.863643,4,4,0,4,4,happy
1557623989.84802,5.372066,6.037666,1.192212,1.993199,1.469702,2.725154,2.233494,0.613848,2.078105,1.977483,1.242569,1.193193,0.394751,0.781633,0.632878,1.810652,2.764338,0.685458,0.807547,0.831869,1.952339,3.589137,0.755695,2.333818,1.82244,4,4,0,4,4,happy
1557623989.97399,5.815765,5.748867,1.530866,1.941071,1.407005,2.325473,2.230735,0.574197,2.111763,1.715139,1.212195,1.497075,0.478748,0.808935,0.619647,2.164942,2.679869,0.74875,0.903713,0.862915,2.352398,3.881134,1.10999,2.490596,1.738883,4,4,0,4,4,happy
1557623990.10005,6.355437,5.310947,1.914038,1.84774,1.372509,2.043264,2.378337,0.636167,2.118187,1.527548,1.113667,1.728503,0.597196,0.877167,0.603672,2.351884,2.540757,0.840332,0.990097,0.915238,2.970412,4.075375,1.626952,2.612203,1.615987,4,4,0,4,4,happy
1557623990.22632,6.917824,4.856452,2.187203,1.722749,1.374981,1.836751,2.605811,0.789872,2.117113,1.448342,0.952205,1.801568,0.745548,0.962049,0.590979,2.534214,2.421014,0.890568,1.044923,0.968652,3.477157,4.141132,2.164928,2.657687,1.468095,4,4,0,4,4,happy
1557623990.35209,7.437309,4.666731,2.28494,1.602487,1.399182,1.939114,2.964263,1.005874,2.143821,1.476014,0.785108,1.69569,0.906293,1.026972,0.589197,2.517207,2.370534,0.969641,1.069741,0.996481,3.770501,4.118057,2.674006,2.607519,1.318265,4,4,0,4,4,happy
1557623990.47815,10.686112,5.889099,2.519052,1.591577,1.43048,7.102282,4.051361,1.399412,2.273258,1.593363,1.087203,1.599841,1.085544,1.05431,0.60908,5.46956,3.008627,1.467681,1.112532,0.989781,7.340161,4.784003,3.435935,2.528207,1.207469,4,4,0,4,4,happy
1557623990.60422,25.889035,11.439633,3.80289,1.911504,1.479621,27.551734,7.625122,2.39727,2.611302,1.789161,2.911873,1.91534,1.367896,1.063112,0.666158,16.548674,6.169403,3.098567,1.286332,0.977752,24.073123,8.199923,5.244268,2.599609,1.201313,4,4,0,4,4,happy
1557623990.73029,64.658291,23.801795,7.083595,2.741859,1.569166,80.531538,15.312809,4.453195,3.234004,2.057926,7.705521,2.982584,1.846757,1.090457,0.770869,45.263586,13.410669,6.434564,1.693904,1.013329,65.716398,16.15811,8.890592,2.978488,1.357046,4,4,0,4,4,happy
1557623990.85666,127.37521,42.717833,12.648298,4.079029,1.705195,159.88505,27.111583,7.545818,4.118996,2.368239,15.073962,4.815358,2.518262,1.16761,0.916418,88.812041,24.728715,11.428864,2.352625,1.141655,131.514626,28.673396,14.505174,3.685672,1.676329,4,4,0,4,4,happy
1557623990.98232,206.052814,64.271946,19.512697,5.74812,1.865572,260.342352,40.550373,11.053564,5.185273,2.662035,24.334988,7.001418,3.236642,1.306301,1.07452,143.941124,37.89749,17.040985,3.192949,1.369595,212.972934,43.246525,21.102274,4.620068,2.090893,4,4,0,4,4,happy
1557623991.10869,287.158679,83.410155,26.376876,7.596232,2.040652,356.139965,53.001408,14.59679,6.468552,2.895671,33.166367,9.045447,3.94891,1.51906,1.212733,198.027481,50.339322,22.100515,4.156705,1.680907,296.129278,57.118902,27.382525,5.707044,2.518878,4,4,0,4,4,happy
1557623991.23506,363.437675,97.913775,33.842709,9.665868,2.282806,439.784209,64.564479,19.524403,8.206207,3.089601,41.229953,11.053964,5.05555,1.851462,1.31678,247.957194,61.329176,26.965838,5.323226,2.073435,374.80906,70.204484,33.66542,7.048396,2.923728,4,4,0,4,4,happy
1557623991.36102,437.298666,109.387608,43.698198,12.079763,2.673821,506.62331,78.013108,27.949955,10.615999,3.30073,48.542501,13.672524,7.04968,2.353363,1.390909,295.483528,72.343793,33.040822,6.825262,2.548835,450.687994,84.961188,41.435758,8.823667,3.312199,4,4,0,4,4,happy
1557623991.48699,510.140058,120.759807,57.087955,14.785393,3.252806,560.296506,95.778491,40.720144,13.608924,3.578723,55.835885,17.401666,10.049545,3.016029,1.443546,343.181214,84.957869,41.263916,8.657887,3.080784,524.881187,103.333742,51.749229,11.031714,3.692125,4,4,0,4,4,happy
1557623991.61296,577.018538,132.976202,72.509075,17.378305,3.954953,603.121818,117.017622,56.086328,16.637186,3.914809,62.755656,21.995485,13.544612,3.722411,1.472449,389.784412,98.678749,50.822032,10.531427,3.59242,592.343904,123.89151,63.52835,13.305578,4.029443,4,4,0,4,4,happy
1557623991.73912,622.590464,143.411797,85.954259,19.161476,4.597598,624.787531,136.716569,69.695295,18.820838,4.217442,67.758196,26.323199,16.498115,4.267323,1.461254,423.620678,110.218,59.117624,11.923732,3.959035,637.639153,141.342132,73.616505,14.98965,4.240074,4,4,0,4,4,happy
1557623991.86509,624.358809,146.646849,92.35099,19.422586,4.941018,612.925082,147.319705,76.573955,19.329431,4.347076,68.505981,28.7489,17.801196,4.450505,1.387977,429.735507,114.598342,62.682527,12.299529,4.057448,638.068234,148.505429,77.897224,15.416008,4.238773,4,4,0,4,4,happy
1557623991.99126,570.30143,137.527019,88.256029,17.816651,4.80931,553.093877,142.514596,73.563703,17.813903,4.196171,63.158293,27.967201,16.813321,4.168909,1.241097,397.099858,107.900362,59.174517,11.384358,3.827551,581.106815,140.064972,73.609834,14.245338,3.992018,4,4,0,4,4,happy
1557623992.11733,462.079615,114.686901,73.730823,14.589777,4.191285,447.826194,121.057768,61.064027,14.580299,3.758119,51.769528,23.780932,13.732772,3.463124,1.031639,325.499957,89.787706,48.711379,9.317228,3.310146,469.627534,115.890461,60.947074,11.649277,3.546237,4,4,0,4,4,happy
1557623992.24329,322.125164,82.425679,52.754238,10.557672,3.261426,313.36721,88.045753,42.915984,10.495316,3.141882,36.514933,17.309496,9.510565,2.515838,0.799006,229.865498,64.344155,34.098731,6.633632,2.641033,326.614177,81.964021,43.243296,8.302719,3.021353,4,4,0,4,4,happy
1557623992.36926,185.295611,49.155314,31.593704,6.736588,2.302583,182.529811,52.859262,24.818359,6.619634,2.521398,21.378851,10.501051,5.457471,1.580763,0.602765,133.772947,38.462381,19.679293,4.03841,2.002369,188.369702,47.725244,25.704809,5.119924,2.562915,4,4,0,4,4,happy
