TimeStamp,SCA_ENG,RAW_ENG,MIN_ENG,MAX_ENG,ACT_ENG,SCA_VAL,RAW_VAL,MIN_VAL,MAX_VAL,ACT_VAL,SCA_MED,RAW_MED,MIN_MED,MAX_MED,ACT_MED,SCA_FRU,RAW_FRU,MIN_FRU,MAX_FRU,ACT_FRU,SCA_FOC,RAW_FOC,MIN_FOC,MAX_FOC,ACT_FOC,SCA_EXC,RAW_EXC,MIN_EXC,MAX_EXC,ACT_EXC,SCA_LEX,CQ_AF3,CQ_T7,CQ_Pz,CQ_T8,CQ_AF4
1557622646.41944,0.570027,0.493083,-0.452627,1.24006,1,0.516694,1.67647,-61.0325,60.9341,1,0.401089,0.110342,-0.869766,1.42988,1,0.367836,-0.182835,-0.336998,0.0618637,1,0.312251,0.50594,0.418057,0.675862,1,0.142992,5.37964,2.4332,25.1372,1,0.148994,4,4,4,4,4
1557622656.50594,0.540346,0.468923,-0.445502,1.23496,1,0.518197,1.74895,-60.5598,60.3828,1,0.429398,0.195168,-0.860492,1.41869,1,0.426905,-0.152959,-0.335624,0.0601326,1,0.371021,0.521257,0.418932,0.674648,1,0.117775,4.50869,2.21237,25.1611,1,0.135609,4,4,4,4,4
1557622666.59265,0.496648,0.349296,-0.437769,1.22865,1,0.515548,1.23914,-60.1058,59.8486,1,0.377583,-0.0552862,-0.851968,1.40864,1,0.386823,-0.183522,-0.334192,0.0584286,1,0.378218,0.510859,0.419825,0.673875,1,0.124091,4.39008,1.99819,25.1802,1,0.130235,4,4,4,4,4
1557622676.67946,0.527804,0.475416,-0.431472,1.22191,1,0.515141,1.35963,-59.6784,59.329,1,0.370412,0.0573933,-0.846248,1.39702,1,0.365965,-0.180232,-0.332829,0.056353,1,0.312297,0.513332,0.420478,0.67264,1,0.175005,6.7209,1.81616,25.1757,1,0.133858,4,4,4,4,4
1557622686.76587,0.598227,0.518734,-0.424494,1.21859,1,0.513783,1.08986,-59.2655,58.8248,1,0.34608,0.00661535,-0.840271,1.38529,1,0.31011,-0.198015,-0.332084,0.0545634,1,0.394151,0.525666,0.421325,0.67179,1,0.287253,9.58988,1.79681,25.0661,1,0.167339,4,4,4,4,4
1557622696.85267,0.60687,0.537193,-0.417115,1.21544,1,0.519496,1.64039,-58.8496,58.332,1,0.443768,0.214804,-0.833097,1.37558,1,0.380278,-0.175484,-0.331281,0.0530096,1,0.394047,0.525513,0.422152,0.671113,1,0.289942,9.47787,1.83366,24.9359,1,0.210401,4,4,4,4,4
1557622706.93916,0.52685,0.415073,-0.410002,1.21188,1,0.520057,1.55479,-58.4269,57.8478,1,0.390432,0.087846,-0.825651,1.36592,1,0.434624,-0.150711,-0.330205,0.0515181,1,0.308335,0.506319,0.422901,0.669996,1,0.369408,10.6653,1.88792,24.8137,1,0.257262,4,4,4,4,4
1557622717.03374,0.607436,0.583312,-0.403393,1.20782,1,0.521403,1.64051,-58.0151,57.3747,1,0.451906,0.210199,-0.81789,1.35716,1,0.415318,-0.166028,-0.329224,0.0509502,1,0.303292,0.501888,0.423596,0.668777,1,0.180495,5.54939,1.89174,24.7162,1,0.27665,4,4,4,4,4
1557622727.12034,0.585515,0.534993,-0.396416,1.205,1,0.522398,1.74821,-57.6073,56.9132,1,0.46768,0.158998,-0.809514,1.35085,1,0.449591,-0.154244,-0.328014,0.0498014,1,0.319387,0.513288,0.424218,0.667457,1,0.255588,9.18958,1.81304,24.6516,1,0.260494,4,4,4,4,4
1557622737.20682,0.645825,0.622605,-0.390488,1.20449,1,0.519558,1.30294,-57.2097,56.463,1,0.320565,-0.0514685,-0.804244,1.34184,1,0.36809,-0.186129,-0.326884,0.0486157,1,0.37693,0.517771,0.42497,0.666516,1,0.248341,6.9316,1.83662,24.5408,1,0.270881,4,4,4,4,4
1557622747.29378,0.698803,0.669025,-0.385819,1.20661,1,0.522274,1.64731,-56.8288,56.0246,1,0.302858,-0.117022,-0.800837,1.33152,1,0.353437,-0.184109,-0.325991,0.0469175,1,0.346328,0.518651,0.425724,0.665595,1,0.200274,7.37814,1.77054,24.4698,1,0.245299,4,4,4,4,4
1557622757.38041,0.521319,0.398657,-0.381597,1.2074,1,0.524127,1.84985,-56.4442,55.5958,1,0.400881,0.18519,-0.797986,1.32221,1,0.40467,-0.159192,-0.325036,0.0453048,1,0.385389,0.522769,0.42646,0.664751,1,0.310399,9.47088,1.77457,24.3658,1,0.246044,4,4,4,4,4
