TimeStamp,SCA_ENG,RAW_ENG,MIN_ENG,MAX_ENG,ACT_ENG,SCA_VAL,RAW_VAL,MIN_VAL,MAX_VAL,ACT_VAL,SCA_MED,RAW_MED,MIN_MED,MAX_MED,ACT_MED,SCA_FRU,RAW_FRU,MIN_FRU,MAX_FRU,ACT_FRU,SCA_FOC,RAW_FOC,MIN_FOC,MAX_FOC,ACT_FOC,SCA_EXC,RAW_EXC,MIN_EXC,MAX_EXC,ACT_EXC,SCA_LEX,CQ_AF3,CQ_T7,CQ_Pz,CQ_T8,CQ_AF4
1557645965.29790,0.316466,0.371927,-0.142981,1.44796,1,0.563015,7.03429,-54.4615,56.6155,1,0.433988,0.374776,-0.357557,1.47276,1,0.482371,-0.122818,-0.283499,0.0679948,1,0.327746,0.558388,0.495612,0.667544,1,0.263354,9.60183,5.41635,18.5255,1,0.289528,4,4,4,4,4
1557645975.38466,0.550389,0.801317,-0.145203,1.44706,1,0.556289,5.91835,-54.1711,56.3747,1,0.564442,0.724846,-0.354765,1.47039,1,0.515548,-0.0971364,-0.28311,0.0680583,1,0.400783,0.569592,0.495871,0.667188,1,0.273864,8.78145,5.42726,18.4912,1,0.301147,4,4,4,4,4
1557645985.47144,0.638615,0.826372,-0.142973,1.44866,1,0.568476,7.34803,-53.8856,56.1368,1,0.59533,0.650806,-0.352799,1.47532,1,0.548888,-0.0956557,-0.283545,0.069938,1,0.489448,0.585217,0.496156,0.667281,1,0.490116,12.5866,5.42815,18.4713,1,0.315575,4,4,4,4,4
1557645995.57348,0.556164,0.752568,-0.139699,1.44715,1,0.551513,5.33052,-53.609,55.9005,1,0.476424,0.517268,-0.349296,1.4741,1,0.450161,-0.123505,-0.283251,0.0702394,1,0.367148,0.557225,0.496419,0.667263,1,0.336701,9.51227,5.4524,18.4554,1,0.360712,4,4,4,4,4
1557646005.67618,0.645185,0.873943,-0.136337,1.44587,1,0.54548,5.11169,-53.3506,55.6607,1,0.507718,0.606605,-0.345695,1.47224,1,0.427064,-0.123133,-0.282619,0.0696623,1,0.319775,0.559049,0.496678,0.666845,1,0.283139,9.69111,5.45953,18.4164,1,0.34226,4,4,4,4,4
1557646015.76255,0.652429,0.82229,-0.133736,1.44754,1,0.541288,4.96776,-53.1008,55.4227,1,0.514506,0.602043,-0.342064,1.47063,1,0.44633,-0.118249,-0.282038,0.0691684,1,0.352036,0.559985,0.496955,0.666505,1,0.306126,9.90347,5.47169,18.3765,1,0.332927,4,4,4,4,4
1557646025.84934,0.601308,0.793812,-0.130319,1.4466,1,0.551579,5.68369,-52.849,55.1895,1,0.559222,0.642608,-0.33883,1.47083,1,0.487553,-0.11256,-0.281575,0.0690662,1,0.393835,0.563981,0.497243,0.666159,1,0.389483,10.4613,5.49147,18.3424,1,0.34372,4,4,4,4,4
1557646035.92032,0.662835,0.864469,-0.127025,1.44641,1,0.539784,4.35283,-52.6026,54.9616,1,0.528704,0.660783,-0.335657,1.47134,1,0.436817,-0.121095,-0.281127,0.0689837,1,0.415896,0.567008,0.497509,0.666058,1,0.154933,7.10908,5.48486,18.3174,1,0.318194,4,4,4,4,4
1557646046.03834,0.678957,0.98008,-0.125023,1.44835,1,0.55499,6.09941,-52.3608,54.7332,1,0.545915,0.629663,-0.332754,1.4719,1,0.501106,-0.104372,-0.280774,0.0690337,1,0.524378,0.591906,0.497693,0.666214,1,0.292728,9.96017,5.45413,18.3042,1,0.275188,4,4,4,4,4
1557646056.09345,0.633155,0.841173,-0.122954,1.45033,1,0.546743,5.1153,-52.1133,54.5111,1,0.600526,0.714033,-0.329692,1.47249,1,0.488915,-0.110843,-0.280451,0.0692592,1,0.487583,0.582191,0.497889,0.666627,1,0.213895,8.07251,5.4594,18.2709,1,0.272512,4,4,4,4,4
1557646066.19565,0.679886,0.915075,-0.120001,1.45049,1,0.544242,4.92358,-51.8777,54.2896,1,0.487482,0.583353,-0.326635,1.47263,1,0.428469,-0.12233,-0.280001,0.0690637,1,0.437219,0.571498,0.498111,0.666718,1,0.275642,9.56216,5.43991,18.2493,1,0.250745,4,4,3,4,4
1557646076.28236,0.658304,0.855861,-0.117926,1.45256,1,0.541824,4.78336,-51.6481,54.071,1,0.549851,0.676038,-0.323645,1.47245,1,0.486189,-0.109154,-0.279593,0.0689935,1,0.470648,0.579471,0.498332,0.666886,1,0.275469,9.1919,5.44586,18.2165,1,0.257824,4,4,4,4,4
