TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_T7,CQ_Pz,CQ_T8,CQ_AF4
1557646139.686340,17.991921,8.861973,8.312440,15.586618,9.794443,2.926320,7.425864,6.028844,17.749061,14.047479,632.957790,512.778308,342.038603,77.124048,26.146833,19.239498,20.501167,6.111291,21.683486,23.723829,69.247029,10.579374,10.908453,17.891672,9.510004,4,4,4,4,4
1557646139.812294,18.640613,8.690723,7.802646,16.289834,11.007382,2.779578,7.353307,5.646655,18.739502,15.806267,744.550605,584.443166,423.133089,92.018498,32.757375,24.212787,19.601408,5.531996,22.620698,25.326797,70.041966,11.039440,10.030230,18.396000,10.721162,4,4,4,4,4
1557646139.938447,17.077525,7.515450,6.626920,15.902914,11.565784,2.565795,6.578452,4.816674,18.804211,17.081731,756.869086,586.026978,452.414474,96.000859,36.198394,27.511640,16.948211,5.168960,22.386960,25.751976,61.117129,10.175326,8.248882,17.358599,11.319015,4,4,4,4,4
1557646140.064501,13.766663,5.704190,5.236603,14.744778,11.563055,2.332708,5.342990,3.928376,18.335151,17.875893,671.485790,519.244627,419.938624,87.572111,35.637157,28.079953,13.573347,5.226202,21.065566,25.319417,45.508254,8.311105,6.142075,15.244019,11.360780,4,4,4,4,4
1557646140.192156,9.924024,3.939485,4.044960,13.243628,11.313670,1.983740,4.096172,3.307062,17.744448,18.443379,521.895624,407.197765,337.366887,69.506557,31.706675,25.994499,10.679796,5.797826,18.973443,24.673512,28.884211,6.161797,4.249524,12.758608,11.129062,4,4,4,4,4
1557646140.319810,7.196005,2.875316,3.286340,11.759776,11.166093,1.643059,3.225577,3.145993,17.303951,19.125406,364.637900,283.789472,232.668403,47.704669,26.154495,21.632237,8.896409,7.027618,16.607439,24.423708,15.779428,4.550330,2.928419,10.531787,10.972336,4,4,4,4,4
1557646140.447465,7.974849,2.970365,2.959263,10.501143,11.300667,1.462150,2.943548,3.585860,17.084063,20.145418,242.711889,179.073120,136.958356,28.324314,20.932437,16.959375,8.358024,9.028115,14.471587,24.804182,11.647862,4.064121,2.299772,8.891898,11.103443,4,4,4,4,4
1557646140.575120,13.798421,4.207546,2.889723,9.529562,11.628358,1.577013,3.202493,4.575635,17.014123,21.463709,173.047586,108.587753,70.723025,15.389148,17.295259,13.667137,8.793588,11.583685,12.963255,25.495928,16.145823,4.772362,2.212349,7.831347,11.489292,4,4,4,4,4
1557646140.702574,24.706092,6.154937,2.894707,8.899740,11.864345,1.971516,3.770996,5.899423,17.061814,22.806556,144.985691,70.484541,37.348410,9.673949,15.386140,12.979130,9.758700,14.208852,12.376851,25.843950,28.437742,6.287282,2.401541,7.192751,11.894111,4,4,4,4,4
1557646140.829029,37.895190,8.108139,2.963154,8.675412,11.747135,2.519192,4.400013,7.217676,17.237771,23.858407,135.997293,53.865990,26.502005,9.299149,14.495634,14.882248,10.836762,16.284909,12.780722,25.401812,43.725762,7.873091,2.721891,6.839008,12.043654,4,4,4,4,4
1557646140.955284,49.160111,9.644554,3.083216,8.815317,11.249724,2.951029,4.828147,8.085746,17.472834,24.449908,134.155453,48.257887,24.257715,11.517117,13.762173,18.420534,11.521530,17.071295,13.876763,24.315238,59.549800,8.966241,3.022236,6.682221,11.815612,4,4,4,4,4
1557646141.081139,57.928455,10.637604,3.156295,9.122021,10.665371,3.226811,4.907688,8.105797,17.607072,24.692196,128.719274,47.057788,22.904322,14.512384,12.943166,21.875349,11.438006,16.167425,15.237931,23.295856,71.089135,9.318952,3.198386,6.673227,11.381120,4,4,4,4,4
1557646141.207193,63.494955,11.381707,3.265718,9.333693,10.448162,3.239776,4.711509,7.301753,17.419752,24.921211,135.817073,48.286416,21.665419,17.387792,12.436724,23.876449,10.467840,13.849118,16.443784,23.164843,78.402982,8.983291,3.425614,6.774839,11.123475,4,4,4,4,4
1557646141.333248,68.175906,12.263064,3.556471,9.265050,10.981165,3.013776,4.446074,5.948421,16.780858,25.463636,143.118839,49.487564,20.220073,19.320851,12.638619,24.219792,8.927524,10.870739,17.268258,24.422512,80.517262,8.304293,4.004030,6.938319,11.462301,4,4,4,4,4
1557646141.459303,71.257585,13.281637,4.192527,8.832992,12.340860,2.733627,4.278391,4.465727,15.704420,26.413238,143.276751,47.573871,18.232240,19.713508,13.623412,22.573357,7.287113,8.268957,17.812477,27.024963,78.262630,7.631651,5.110269,7.075638,12.617311,4,4,4,4,4
1557646141.585357,72.655486,14.202729,5.371841,8.073602,14.286386,2.460950,4.272593,3.415852,14.314737,27.733296,127.885369,40.849075,15.801583,18.453732,15.178882,20.155475,5.971683,6.991170,18.338215,30.497944,72.134434,7.220406,6.769072,7.091886,14.507314,4,4,4,4,4
1557646141.711412,72.131195,14.634566,7.100580,7.137808,16.382587,2.361866,4.382800,3.185655,12.760444,29.319476,99.550651,30.415657,13.325751,15.902415,16.921638,17.399557,5.174581,7.318339,18.945668,34.132760,63.412829,7.111827,8.677903,6.943447,16.761660,4,4,4,4,4
1557646141.837567,68.868858,14.235583,8.981240,6.238367,18.173140,2.428572,4.444576,3.611764,11.237404,30.939452,63.826494,19.384591,11.384962,12.812426,18.428784,15.106757,4.768865,8.666076,19.445133,37.100717,53.113398,7.114779,10.250179,6.673052,18.835385,4,4,4,4,4
1557646141.963522,63.151786,12.948715,10.510046,5.598972,19.348404,2.663247,4.299572,4.301239,9.961728,32.246611,35.023996,10.580031,10.334839,9.988170,19.381163,13.192922,4.567355,10.073981,19.454523,38.658668,41.947266,7.008756,10.971899,6.402628,20.230504,4,4,4,4,4
