TimeStamp,SCA_ENG,RAW_ENG,MIN_ENG,MAX_ENG,ACT_ENG,SCA_VAL,RAW_VAL,MIN_VAL,MAX_VAL,ACT_VAL,SCA_MED,RAW_MED,MIN_MED,MAX_MED,ACT_MED,SCA_FRU,RAW_FRU,MIN_FRU,MAX_FRU,ACT_FRU,SCA_FOC,RAW_FOC,MIN_FOC,MAX_FOC,ACT_FOC,SCA_EXC,RAW_EXC,MIN_EXC,MAX_EXC,ACT_EXC,SCA_LEX,CQ_AF3,CQ_T7,CQ_Pz,CQ_T8,CQ_AF4
1557645229.02147,0.69715,0.770557,-0.322239,1.31847,1,0.49781,2.2808,-92.0547,97.5797,1,0.317821,0.208088,-0.702908,1.85775,1,0.398951,-0.153161,-0.313095,0.0610266,1,0.484665,0.559577,0.462968,0.664771,1,0.42933,12.9396,5.10177,22.0172,1,0.285877,4,4,4,4,4
1557645239.10834,0.701447,0.775629,-0.316013,1.3302,1,0.499461,2.54085,-91.1529,96.2239,1,0.295299,0.0959273,-0.696078,1.83418,1,0.372151,-0.175935,-0.310816,0.0580166,1,0.418442,0.551419,0.464041,0.664904,1,0.37487,11.6152,5.22168,21.8816,1,0.326915,4,4,4,4,4
1557645249.14756,0.735518,0.852882,-0.311208,1.34298,1,0.503793,3.72027,-90.2407,94.9096,1,0.398418,0.422194,-0.690407,1.81358,1,0.395261,-0.146263,-0.309283,0.0552079,1,0.467487,0.561145,0.46514,0.664841,1,0.374201,12.2907,5.31703,21.7153,1,0.344802,4,4,3,4,4
1557645259.23441,0.685166,0.780319,-0.308643,1.35848,1,0.530902,6.40027,-89.0971,93.626,1,0.38319,0.320632,-0.676701,1.79613,1,0.384247,-0.165842,-0.308145,0.0540743,1,0.409301,0.547611,0.466119,0.665182,1,0.413936,11.8876,5.42902,21.5937,1,0.376414,4,3,3,4,4
1557645269.33646,0.67879,0.791362,-0.300229,1.36447,1,0.505589,2.90123,-88.0985,92.393,1,0.377203,0.300794,-0.664907,1.77796,1,0.369631,-0.174581,-0.306882,0.052554,1,0.476401,0.567214,0.467082,0.665046,1,0.331372,11.2799,5.4969,21.4468,1,0.37292,4,3,4,4,4
1557645279.43886,0.7045,0.857658,-0.292281,1.37047,1,0.51017,3.36972,-87.1959,91.2129,1,0.424309,0.439544,-0.653365,1.76097,1,0.407176,-0.143324,-0.306007,0.0507416,1,0.588675,0.582438,0.467457,0.667675,1,0.258196,9.93046,5.53996,21.3063,1,0.357426,4,4,4,4,4
1557645289.54134,0.741999,0.894358,-0.290869,1.38795,1,0.504575,2.44351,-86.3402,90.0793,1,0.343482,0.165085,-0.641602,1.74472,1,0.40367,-0.154892,-0.304273,0.0489264,1,0.491952,0.569091,0.468076,0.669603,1,0.232556,9.72515,5.52765,21.177,1,0.318298,4,4,4,4,4
1557645299.61289,0.681918,0.787763,-0.285462,1.39749,1,0.507588,2.84625,-85.532,88.9946,1,0.461703,0.511044,-0.631985,1.73008,1,0.469264,-0.135723,-0.302716,0.0478129,1,0.46062,0.562896,0.469019,0.669719,1,0.396291,12.1639,5.55865,21.0575,1,0.310493,4,3,4,4,4
1557645309.68326,0.635034,0.804938,-0.276962,1.40006,1,0.523155,5.09311,-84.6811,87.9404,1,0.43569,0.479517,-0.61896,1.71772,1,0.472749,-0.13179,-0.301402,0.0474445,1,0.480576,0.567125,0.469904,0.670098,1,0.453725,12.7641,5.65585,20.9628,1,0.34448,4,4,4,4,4
1557645319.77741,0.754284,0.987082,-0.273949,1.41224,1,0.508396,2.46191,-83.8076,86.9164,1,0.386746,0.276272,-0.606672,1.70344,1,0.471934,-0.136403,-0.300209,0.0473798,1,0.376824,0.548914,0.470751,0.670292,1,0.31067,10.3179,5.72854,20.8665,1,0.361982,3,4,4,4,4
1557645329.88008,0.801509,1.03205,-0.281324,1.44154,1,0.502239,1.67853,-83.0994,85.9498,1,0.356873,0.24302,-0.597336,1.68684,1,0.391518,-0.16108,-0.298717,0.0460507,1,0.517642,0.575733,0.471254,0.671139,1,0.167553,7.87109,5.68866,20.7765,1,0.326749,4,4,4,4,4
1557645339.98225,0.701594,0.876928,-0.280396,1.45788,1,0.505703,2.17575,-82.4202,85.0171,1,0.297244,0.173815,-0.593343,1.67188,1,0.36585,-0.163373,-0.297278,0.0438454,1,0.520891,0.571552,0.471862,0.672244,1,0.229233,9.91604,5.58826,20.7233,1,0.283021,4,4,4,4,4
