TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_T7,CQ_Pz,CQ_T8,CQ_AF4
1557645460.888055,17.743433,4.724869,2.034240,2.001371,1.153699,9.574595,1.151106,0.371151,1.251866,2.372560,20.317078,2.313946,1.028962,1.922158,0.868940,9.404842,2.051831,2.859153,1.575429,3.414673,22.542023,4.798414,2.290208,2.438152,1.246847,4,4,4,4,4
1557645461.014077,13.845692,3.262862,1.951890,2.366973,1.320595,12.054728,0.927086,0.445156,1.597009,2.755283,23.883051,1.720315,1.143418,2.111262,0.886100,11.370660,1.848238,2.835914,1.475911,3.256754,22.219147,4.297096,1.996189,2.692239,1.436851,4,4,4,4,4
1557645461.140099,12.354900,2.276845,1.829793,2.724174,1.485508,13.367432,0.818727,0.536743,2.043943,3.059464,27.134698,1.304588,1.252431,2.291095,0.875305,12.558307,1.695139,2.654381,1.531203,3.325194,21.128593,3.760489,1.697057,2.931459,1.581431,4,4,4,4,4
1557645461.266121,13.153957,1.800221,1.665731,2.974789,1.613720,13.051979,0.847398,0.626893,2.558645,3.288900,27.876075,1.018954,1.358864,2.406727,0.859080,13.139801,1.609172,2.399253,1.760281,3.594232,20.465147,3.449339,1.441510,3.087928,1.665669,4,4,4,4,4
1557645461.392143,14.426330,1.686577,1.562607,3.057935,1.691535,11.141901,0.989821,0.705584,3.104634,3.480255,26.059412,0.836186,1.476389,2.429818,0.872192,12.259881,1.575998,2.197567,2.149349,3.965682,19.364005,3.407915,1.308910,3.114025,1.710993,4,4,4,4,4
1557645461.518165,16.792034,1.884416,1.658202,2.972712,1.717694,8.479191,1.194166,0.793802,3.616459,3.662890,22.346748,0.793732,1.621941,2.371285,0.945686,10.720991,1.559979,2.156604,2.631034,4.326476,19.520201,3.626025,1.356084,2.987071,1.746065,4,4,4,4,4
1557645461.644188,20.494020,2.523608,2.008681,2.755093,1.696098,5.814248,1.410851,0.900961,3.992532,3.826471,17.320235,0.902216,1.771373,2.268687,1.091773,8.462650,1.530632,2.299884,3.106616,4.583425,20.346885,4.144819,1.576178,2.729376,1.787247,4,4,4,4,4
1557645461.770410,27.404753,3.622784,2.535196,2.466526,1.630821,3.989050,1.591747,1.027107,4.136025,3.923823,13.344116,1.146570,1.868925,2.173746,1.293841,6.731307,1.451210,2.529117,3.479834,4.688014,24.178356,4.905463,1.893123,2.428308,1.828890,4,4,4,4,4
1557645461.896632,36.075558,4.984557,3.028480,2.174859,1.526431,3.138109,1.703108,1.153783,3.998792,3.895437,9.935985,1.482277,1.873363,2.121203,1.507740,5.399569,1.313820,2.706764,3.687589,4.638473,28.984705,5.715786,2.167901,2.190922,1.848497,4,4,4,4,4
1557645462.022654,44.952321,6.225314,3.263838,1.911758,1.392712,3.087527,1.731581,1.266777,3.604357,3.700517,8.744649,1.846232,1.777718,2.122361,1.681743,5.010454,1.150140,2.737449,3.750037,4.464118,34.295715,6.303229,2.249803,2.084599,1.826277,4,4,4,4,4
1557645462.148677,50.393404,6.935475,3.128779,1.678554,1.244474,3.392118,1.696954,1.349110,3.045588,3.343235,8.636983,2.159499,1.609734,2.158941,1.777847,5.036074,1.006213,2.596314,3.726784,4.208602,37.239001,6.411352,2.074219,2.100206,1.758034,4,4,4,4,4
1557645462.274799,50.734123,6.828070,2.648313,1.471371,1.097947,3.777912,1.608800,1.394840,2.451076,2.882227,10.079058,2.321840,1.404874,2.204180,1.783721,5.249338,0.931153,2.305688,3.660940,3.926798,37.342860,5.939575,1.676205,2.169848,1.659560,4,4,4,4,4
