TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_T7,CQ_Pz,CQ_T8,CQ_AF4
1557649762.968958,1.968576,2.405730,1.210899,0.615621,0.369325,3.377291,2.232323,1.883639,0.408873,0.465313,3.730834,2.025362,1.855987,1.050001,0.261285,1.579734,1.833083,0.508386,0.519390,0.234520,3.755365,3.144504,1.069117,0.778625,0.637363,4,4,4,0,4
1557649763.095026,2.200213,2.404572,1.021347,0.592554,0.390414,2.995502,2.317975,1.758708,0.431994,0.416617,3.199938,2.233445,1.642435,1.143928,0.268754,1.610903,1.820043,0.438747,0.431063,0.253581,4.537419,3.363403,0.886113,0.806089,0.681185,4,4,4,0,4
1557649763.220993,2.518176,2.272259,0.847055,0.545427,0.434111,2.751461,2.268046,1.650749,0.510571,0.428706,2.537065,2.343836,1.487190,1.185405,0.285724,1.603872,1.674767,0.361632,0.329362,0.271395,5.182144,3.332123,0.785891,0.815867,0.697503,4,4,4,0,4
1557649763.347062,3.030378,2.044521,0.707117,0.480198,0.486441,2.961186,2.132842,1.607250,0.643665,0.551008,1.910350,2.303953,1.441476,1.169330,0.312265,1.630146,1.427837,0.312772,0.245103,0.279586,6.212360,3.021324,0.812826,0.799946,0.682595,4,4,4,0,4
1557649763.473030,3.583627,1.800636,0.639005,0.413014,0.534596,4.170242,1.992021,1.626381,0.822781,0.826554,1.519840,2.132589,1.540148,1.127931,0.346536,1.781949,1.151560,0.322651,0.203214,0.275009,7.440847,2.550979,0.972916,0.758421,0.640701,4,4,4,0,4
1557649763.599096,4.083557,1.631224,0.686583,0.370491,0.569173,6.350268,1.938776,1.685166,1.030515,1.273551,1.476530,1.881991,1.805747,1.108478,0.384687,2.041375,0.916127,0.401103,0.211018,0.260071,8.842458,2.121860,1.224308,0.699735,0.582347,4,4,4,0,4
1557649763.725462,4.522297,1.580898,0.889333,0.389164,0.583199,9.093189,2.015282,1.725168,1.245721,1.855863,1.825567,1.612658,2.227142,1.143779,0.419873,2.386897,0.759012,0.531957,0.258876,0.241104,10.171516,1.916561,1.517661,0.640467,0.521565,4,4,4,0,4
1557649763.851727,4.811774,1.615140,1.246123,0.501964,0.573085,11.722784,2.177378,1.707403,1.446757,2.470502,2.429753,1.362967,2.741997,1.246002,0.445334,2.640823,0.667487,0.683098,0.329539,0.225540,10.971414,1.960354,1.795384,0.606623,0.474529,4,4,4,0,4
1557649763.977692,4.968673,1.674278,1.706450,0.714602,0.540829,13.136999,2.335542,1.610452,1.606780,2.975010,3.091548,1.158063,3.244076,1.398449,0.457454,2.710876,0.603117,0.822362,0.405550,0.218604,11.012814,2.157353,2.020493,0.621699,0.456542,4,4,4,0,4
1557649764.103857,4.941837,1.685197,2.146548,0.988139,0.494059,13.694285,2.431812,1.465637,1.696793,3.241772,3.522807,1.006624,3.590267,1.564004,0.457661,2.523048,0.537149,0.921412,0.474759,0.222316,10.144817,2.343405,2.142867,0.691092,0.476172,4,4,4,0,4
1557649764.229823,4.759737,1.597848,2.427548,1.246960,0.444845,13.575703,2.465543,1.324401,1.697127,3.213883,3.641886,0.897682,3.666685,1.694834,0.452883,2.134834,0.465506,0.964499,0.529710,0.235460,8.603391,2.381919,2.121977,0.791806,0.530494,4,4,4,0,4
1557649764.355987,4.472474,1.411633,2.455399,1.412353,0.406302,13.462409,2.506191,1.241066,1.615098,2.927851,3.479545,0.805984,3.452562,1.745922,0.450331,1.687467,0.401393,0.961183,0.564603,0.253807,6.872662,2.218198,1.954330,0.879535,0.603127,4,4,4,0,4
1557649764.481951,4.179570,1.191475,2.224066,1.437655,0.387666,14.974329,2.648313,1.278221,1.495635,2.493757,3.197681,0.721234,3.008196,1.704909,0.451691,1.356560,0.357257,0.929533,0.577312,0.271217,5.289568,1.932960,1.677253,0.915846,0.669429,4,4,4,0,4
1557649764.608014,3.964446,1.016570,1.820031,1.338769,0.390022,17.586978,2.924362,1.450008,1.392926,2.042435,2.916646,0.639552,2.444528,1.595267,0.451582,1.217026,0.336546,0.893809,0.573673,0.280671,4.164089,1.668154,1.369058,0.892972,0.707155,4,4,4,0,4
