TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_T7,CQ_Pz,CQ_T8,CQ_AF4
1557648611.339700,1.550933,1.059665,0.635788,1.058626,0.515940,2.342365,1.182353,0.466348,0.863774,0.478293,12.209126,2.611405,0.873096,1.860355,1.059719,0.665919,0.487221,0.409067,0.554180,0.251386,4.601306,1.589735,1.484449,1.177408,0.673272,4,4,4,4,4
1557648611.466086,2.162511,1.294880,0.684402,1.144315,0.501427,2.369876,1.291157,0.583563,0.953415,0.447056,12.287175,2.715383,0.813398,1.976392,0.953513,0.621933,0.465653,0.469057,0.563678,0.264523,5.404574,1.349068,1.367209,1.201478,0.673059,4,4,4,4,4
1557648611.592275,5.863583,2.716742,1.337754,1.414513,0.576815,2.423540,1.431610,0.738420,1.042950,0.427273,11.979934,2.707797,0.803386,2.122916,0.898536,0.592604,0.417958,0.523566,0.570678,0.284107,6.254538,1.189074,1.306197,1.237131,0.647462,4,4,4,4,4
1557648611.718165,18.019796,7.792549,4.164795,2.339758,0.947634,2.496518,1.582999,0.905007,1.120041,0.419528,11.480666,2.553968,0.824004,2.231547,0.895425,0.641264,0.345795,0.578168,0.557427,0.300508,6.317469,1.160613,1.351109,1.260592,0.610846,4,4,4,4,4
1557648611.844155,42.646780,18.683531,10.587544,4.356009,1.794709,2.638694,1.719485,1.055456,1.172398,0.426213,11.141291,2.326626,0.845533,2.230287,0.913374,0.834315,0.267897,0.639013,0.511471,0.305676,7.248868,1.262229,1.519227,1.237033,0.582008,4,4,4,4,4
1557648611.970347,78.941425,35.185753,20.593175,7.460968,3.105064,2.955849,1.830154,1.162405,1.187219,0.447364,11.305707,2.150188,0.850244,2.090039,0.913350,1.182515,0.212744,0.711843,0.436094,0.297141,6.671442,1.427568,1.795161,1.152546,0.571878,4,4,4,4,4
1557648612.096240,119.113980,53.860850,32.137095,11.051334,4.606240,3.474911,1.898674,1.208255,1.156697,0.475908,11.916572,2.093227,0.828015,1.839345,0.878057,1.629520,0.196530,0.789203,0.347862,0.278885,7.869646,1.578161,2.100234,1.020835,0.575455,4,4,4,4,4
1557648612.222334,151.688021,69.229275,41.840217,14.114585,5.858910,4.119229,1.909969,1.188007,1.079949,0.500897,12.528852,2.127764,0.775387,1.543238,0.821252,2.056370,0.212158,0.855348,0.269263,0.257857,7.492613,1.677203,2.336064,0.885221,0.579707,4,4,4,4,4
1557648612.348430,165.483433,76.142507,46.449069,15.626928,6.442652,4.627815,1.852200,1.102228,0.962243,0.515680,12.555723,2.171725,0.703626,1.278964,0.771198,2.335263,0.236273,0.894088,0.218774,0.239580,8.236888,1.770026,2.448794,0.799037,0.574962,4,4,4,4,4
1557648612.474527,155.450777,72.143696,44.356240,15.051139,6.155227,4.807145,1.726598,0.976010,0.817968,0.522850,11.567122,2.115528,0.624441,1.109987,0.749247,2.378778,0.245543,0.886015,0.200085,0.227192,7.815875,1.886618,2.400239,0.792041,0.564466,4,4,4,4,4
