TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_T7,CQ_Pz,CQ_T8,CQ_AF4
1557626630.766374,2.166875,1.940738,0.970605,0.856467,0.532047,3.544685,2.196483,1.053190,1.183570,0.674774,0.764534,1.571077,0.899437,0.510047,0.551297,1.772971,0.947194,0.512329,0.521469,0.376539,2.253129,2.561044,0.928469,1.056219,1.840579,4,4,2,4,4
1557626630.892463,7.112625,3.318201,1.107697,0.893541,0.571388,2.829122,2.045224,0.922583,1.156592,0.651721,0.846609,1.786086,1.016860,0.477220,0.525974,1.862922,1.112355,0.547997,0.568444,0.408966,4.841349,2.996474,0.989679,1.281418,1.810579,4,4,2,4,4
1557626631.018652,20.358434,6.385713,1.463229,0.937176,0.591888,2.128854,2.047787,0.792580,1.098134,0.621430,0.983751,2.035366,1.091278,0.434798,0.485572,1.910450,1.240026,0.586296,0.635190,0.429175,12.004614,4.667526,1.266049,1.511958,1.707036,4,4,2,4,4
1557626631.144641,43.450788,11.392393,2.073466,1.018249,0.592547,1.607150,2.272330,0.711110,1.018039,0.597993,1.177981,2.230633,1.116808,0.402635,0.435061,1.962468,1.292804,0.632819,0.716321,0.436418,24.567075,7.857310,1.761776,1.683610,1.559647,4,4,2,4,4
1557626631.270831,73.098924,17.560052,2.840126,1.155214,0.577476,1.299294,2.646987,0.701568,0.933517,0.593830,1.414571,2.284492,1.113993,0.397455,0.382498,2.041713,1.289115,0.709055,0.799541,0.437524,40.742078,12.043090,2.413128,1.760437,1.419327,4,4,2,4,4
1557626631.397220,101.469696,23.216580,3.540686,1.343506,0.554844,1.169173,2.998250,0.751858,0.866324,0.612534,1.642508,2.151195,1.109030,0.426338,0.335536,2.137126,1.281394,0.844813,0.867349,0.442051,56.267184,16.021970,3.109182,1.751981,1.335543,4,4,2,4,4
1557626631.523110,119.192518,26.473479,3.928538,1.547934,0.532776,1.126344,3.141435,0.818991,0.832038,0.644491,1.808998,1.846467,1.115926,0.491522,0.300007,2.154330,1.317484,1.050451,0.905773,0.455182,66.134706,18.429005,3.709088,1.707356,1.334511,4,4,2,4,4
1557626631.649099,120.140749,26.105198,3.852823,1.710797,0.516668,1.135585,2.977595,0.841513,0.830056,0.670346,1.879049,1.443120,1.122566,0.591680,0.279415,2.038969,1.404604,1.296728,0.905701,0.474106,67.010947,18.355602,4.079286,1.686208,1.405608,4,4,2,4,4
1557626631.775188,104.110313,22.215237,3.341017,1.775119,0.510450,1.149795,2.548382,0.776205,0.845373,0.672654,1.849351,1.040058,1.105111,0.721176,0.275726,1.786162,1.496123,1.511446,0.867771,0.492528,58.664663,15.815646,4.120320,1.729149,1.515442,4,4,2,4,4
1557626631.901278,76.858655,16.135779,2.572681,1.712402,0.521292,1.157966,2.004312,0.638223,0.860300,0.644296,1.739362,0.719312,1.040780,0.865377,0.290972,1.486991,1.530813,1.609940,0.800362,0.506285,44.076766,11.726881,3.813765,1.839234,1.630845,4,4,2,4,4
1557626632.027367,47.264544,9.814705,1.801817,1.539079,0.562844,1.162681,1.505137,0.484477,0.860864,0.590530,1.566968,0.507042,0.916078,0.991785,0.327131,1.218024,1.457906,1.532541,0.711431,0.515767,27.956864,7.458130,3.262867,1.980012,1.729491,4,4,2,4,4
1557626632.153357,23.301219,4.939148,1.233828,1.309536,0.648727,1.185813,1.149135,0.366287,0.837205,0.527686,1.379829,0.386447,0.743679,1.066265,0.386796,1.072253,1.270512,1.293288,0.620648,0.523275,14.655017,4.238627,2.657338,2.095206,1.793459,4,4,2,4,4
1557626632.279747,9.150892,2.204441,0.958941,1.087351,0.777504,1.247878,0.951095,0.311867,0.786331,0.477416,1.237055,0.337379,0.550968,1.069145,0.469499,1.126424,1.014891,0.978177,0.557401,0.528772,6.686153,2.559310,2.156183,2.137787,1.808770,4,4,2,4,4
1557626632.405736,3.899109,1.263166,0.906231,0.916700,0.925064,1.335552,0.864494,0.316969,0.716388,0.455615,1.178733,0.338719,0.374561,1.002696,0.564779,1.382969,0.757307,0.697645,0.551000,0.527627,3.813965,2.117060,1.848798,2.093226,1.771535,4,4,2,4,4
1557626632.531726,3.652082,1.226467,0.940136,0.813600,1.050822,1.411731,0.825946,0.358175,0.644567,0.465025,1.208261,0.374625,0.242327,0.886858,0.652539,1.766053,0.561662,0.532520,0.610361,0.513127,4.073426,2.217780,1.740552,1.975498,1.694544,4,4,2,4,4
1557626632.657915,4.659445,1.393169,0.961584,0.768163,1.115198,1.430666,0.795675,0.409850,0.586713,0.496623,1.289732,0.439210,0.160668,0.747902,0.710145,2.147550,0.455028,0.488945,0.718766,0.483708,5.274364,2.341719,1.758309,1.812312,1.601461,4,4,2,4,4
