TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_T7,CQ_Pz,CQ_T8,CQ_AF4
1557623316.297714,2.529043,5.272718,4.784087,1.690865,1.203709,3.787383,2.718630,1.998102,1.024712,1.304031,1.916520,1.215222,0.543176,0.576765,0.839054,1.630977,4.514216,0.884658,1.058164,0.714881,1.190145,7.186995,1.613721,2.669238,1.408002,4,4,1,4,4
1557623316.423870,4.419972,5.647392,4.347564,1.622113,1.163279,3.449820,2.313548,1.726064,1.127502,1.469057,1.933256,1.038487,0.556994,0.518565,0.894934,1.416439,4.115367,0.725205,0.942537,0.758736,1.169325,6.429114,1.811983,2.590344,1.485521,4,4,1,4,4
1557623316.550026,11.687320,7.510368,3.941337,1.460649,1.083418,3.154529,1.963818,1.514619,1.244634,1.611657,1.865846,0.913088,0.641711,0.470626,0.904018,1.319142,3.437144,0.653087,0.802367,0.775058,1.350157,5.291885,2.119640,2.406883,1.545135,4,4,1,4,4
1557623316.675782,24.912714,11.460284,3.732956,1.289553,0.997650,3.096826,1.763159,1.427217,1.360761,1.692436,1.747955,0.833021,0.776008,0.447191,0.859896,1.298991,2.700471,0.688449,0.671913,0.757397,1.562330,4.017195,2.450774,2.169293,1.582000,4,4,0,4,4
1557623316.801938,44.602152,17.172822,3.874484,1.204927,0.939476,3.458902,1.755104,1.476194,1.466031,1.687100,1.628730,0.769508,0.923448,0.464279,0.777479,1.302425,2.135162,0.851198,0.589306,0.713326,1.691959,2.906560,2.701022,1.941531,1.599645,4,4,0,4,4
1557623316.927994,68.956872,24.017197,4.564637,1.275791,0.926555,4.130643,1.877262,1.597247,1.547194,1.593150,1.530871,0.699136,1.060127,0.524374,0.685451,1.366148,1.852047,1.164376,0.577764,0.659656,1.947913,2.168586,2.796220,1.759591,1.601822,4,4,0,4,4
1557623317.054049,96.276217,30.674870,5.822144,1.500068,0.956775,4.891799,2.001008,1.689287,1.586690,1.434790,1.471134,0.616964,1.171605,0.610366,0.615370,1.541947,1.840490,1.611048,0.630025,0.614630,2.832355,1.873346,2.734828,1.617682,1.588063,4,4,0,4,4
1557623317.180006,123.248201,35.801876,7.416812,1.820743,1.013358,5.465735,2.038638,1.668948,1.572219,1.253038,1.441898,0.538605,1.246399,0.694541,0.587627,1.855324,1.992467,2.110106,0.719945,0.593705,5.031255,1.991130,2.582417,1.493919,1.556829,4,4,0,4,4
1557623317.306161,145.096368,38.800000,8.992183,2.134875,1.072061,5.672255,1.993907,1.514548,1.518550,1.088068,1.420804,0.487895,1.283508,0.751573,0.601059,2.274341,2.184332,2.542232,0.814827,0.600486,8.350302,2.546007,2.433115,1.376301,1.509212,4,4,0,4,4
1557623317.432217,156.130215,39.493264,10.056372,2.339388,1.109359,5.434210,1.932044,1.266749,1.461288,0.963495,1.399570,0.491041,1.282975,0.764805,0.636308,2.662124,2.346386,2.785370,0.896303,0.622572,12.431139,3.602945,2.302177,1.273447,1.451506,4,4,0,4,4
1557623317.558173,154.675537,38.053079,10.303353,2.359731,1.109087,4.809084,1.911300,1.009042,1.434728,0.881390,1.388151,0.567572,1.246163,0.732117,0.666803,2.946077,2.484774,2.817854,0.959785,0.639803,17.156019,5.148549,2.180026,1.197412,1.395726,4,4,0,4,4
1557623317.684429,144.033609,34.804588,9.645846,2.176799,1.064116,4.123823,1.947870,0.819552,1.449778,0.828696,1.390829,0.713419,1.173886,0.668603,0.671830,2.992146,2.611816,2.712579,1.000332,0.637516,22.320876,6.939094,2.082320,1.149256,1.354643,4,4,0,4,4
1557623317.810685,126.369013,30.169320,8.217554,1.834341,0.979875,3.416032,2.021836,0.716292,1.494823,0.797072,1.394210,0.906098,1.075244,0.597271,0.646535,2.833941,2.694489,2.569833,1.005500,0.615861,26.988448,8.499936,1.976447,1.121394,1.332457,4,4,0,4,4
1557623317.936841,109.668108,24.739221,6.382149,1.419749,0.883061,2.941881,2.124602,0.684133,1.549075,0.800088,1.374665,1.107720,0.960090,0.535549,0.602147,2.493164,2.687089,2.475394,0.958152,0.586492,30.694563,9.333095,1.837844,1.109293,1.319829,4,4,0,4,4
1557623318.062897,93.295563,19.157560,4.548938,1.033836,0.815243,2.605027,2.251792,0.690041,1.593063,0.868257,1.302539,1.269422,0.845971,0.491260,0.559022,2.126030,2.567937,2.473502,0.849750,0.563034,31.950073,9.144602,1.702291,1.115266,1.299606,4,4,0,4,4
1557623318.188853,80.538019,14.101555,3.127002,0.750321,0.811381,2.459571,2.392695,0.716048,1.614965,1.015466,1.172669,1.343688,0.751501,0.459660,0.534712,1.824608,2.354152,2.567585,0.689910,0.552497,30.432737,8.041582,1.685672,1.134372,1.255456,4,4,0,4,4
1557623318.315009,64.161954,9.926551,2.285917,0.606187,0.878072,2.268728,2.519991,0.772794,1.613584,1.219081,1.017105,1.310074,0.700186,0.432594,0.536110,1.729914,2.132715,2.728981,0.510433,0.554321,25.948450,6.464990,1.862053,1.147809,1.182550,4,4,0,4,4
1557623318.440965,49.839796,6.848040,2.014342,0.594336,0.987824,2.185829,2.614571,0.869185,1.584115,1.424717,0.869544,1.189623,0.707651,0.406981,0.556697,1.791976,2.021516,2.922565,0.361132,0.567006,19.616606,4.994375,2.247611,1.135366,1.094136,4,4,0,4,4
1557623318.567021,32.987493,4.819807,2.082023,0.672137,1.089812,2.117896,2.643902,0.994736,1.516400,1.572116,0.813515,1.023113,0.785025,0.384827,0.581808,1.954831,2.083724,3.116269,0.281573,0.589866,12.719430,4.087490,2.798727,1.081635,1.016534,4,4,0,4,4
1557623318.692977,17.648104,3.575290,2.271452,0.791475,1.137170,1.933738,2.569051,1.118852,1.416162,1.626065,0.829589,0.858007,0.937635,0.373063,0.598567,2.059171,2.264521,3.255797,0.277235,0.620340,6.961319,3.869037,3.399091,0.987239,0.974274,4,4,0,4,4
1557623318.819033,8.084223,3.084372,2.393658,0.910994,1.113222,2.112802,2.413884,1.240696,1.315859,1.587085,0.889178,0.742868,1.149381,0.381367,0.601767,2.030506,2.455622,3.265126,0.322161,0.654752,3.462612,4.155705,3.918763,0.883871,0.980835,4,4,0,4,4
1557623318.945389,3.800586,3.142596,2.351443,0.992351,1.033260,2.188003,2.238273,1.369172,1.264775,1.486632,0.923911,0.685848,1.369395,0.418521,0.594410,1.902929,2.556743,3.083672,0.380595,0.689112,2.057806,4.506513,4.247788,0.835155,1.036731,4,4,0,4,4
1557623319.071245,2.792390,3.529906,2.178644,1.030231,0.933614,2.570048,2.148544,1.524830,1.308192,1.365896,0.882912,0.663878,1.549937,0.482542,0.582727,1.770781,2.509477,2.706982,0.430144,0.718199,1.969363,4.615182,4.330799,0.903213,1.130226,4,4,0,4,4
1557623319.197401,2.553857,3.955029,1.988812,1.046107,0.852057,2.821374,2.209244,1.711832,1.455826,1.257840,0.769214,0.655110,1.652941,0.558467,0.571048,1.760550,2.331355,2.208323,0.469694,0.735018,2.188380,4.395713,4.166592,1.100615,1.234520,4,4,0,4,4
1557623319.323857,2.360208,4.162574,1.868179,1.065525,0.810734,3.070172,2.380579,1.908257,1.666375,1.176753,0.630478,0.643066,1.658586,0.623245,0.561623,1.916294,2.093624,1.701421,0.511768,0.735343,2.491100,3.877446,3.803796,1.374232,1.314474,4,4,0,4,4
1557623319.449913,2.210325,4.125350,1.856497,1.106083,0.809677,3.218022,2.561310,2.058509,1.858647,1.118363,0.526410,0.618280,1.581444,0.658683,0.556133,2.180871,1.881592,1.298157,0.570156,0.722054,2.845492,3.203857,3.364965,1.630043,1.339115,4,4,0,4,4
1557623319.575869,2.123664,3.868010,1.897233,1.173122,0.834191,3.094687,2.638485,2.117444,1.964045,1.073620,0.500113,0.586259,1.464950,0.656571,0.554303,2.489330,1.763848,1.035481,0.645847,0.703706,3.164033,2.533820,3.003786,1.793046,1.296742,4,4,0,4,4
