TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_T7,CQ_Pz,CQ_T8,CQ_AF4
1557622639.989236,6.988498,1.739452,3.314637,1.577580,0.788410,3.357458,0.717092,0.485025,0.497043,0.852611,0.781327,1.109329,1.126829,0.614348,0.570591,3.231471,0.794751,2.080919,1.180149,0.480419,8.117033,3.350887,1.297728,1.401534,0.800303,4,4,4,4,4
1557622640.115053,7.288823,1.392367,3.041698,1.378179,0.854835,3.327541,0.614652,0.654884,0.609363,0.833590,0.970702,1.192306,1.102203,0.618466,0.599087,3.785761,0.865290,2.158240,1.132586,0.499089,9.383635,3.068227,1.593129,1.391619,0.792564,4,4,4,4,4
1557622640.241370,7.188572,1.227630,2.493488,1.139348,0.947794,3.173390,0.762055,0.961527,0.766887,0.839507,1.155602,1.280334,0.979588,0.640970,0.598883,4.096303,1.072635,2.056452,1.031214,0.513929,10.037758,2.711242,1.933248,1.483948,0.831021,4,4,4,4,4
1557622640.367388,6.580980,1.220989,1.867500,0.940904,1.051821,2.874433,1.216105,1.394996,0.950277,0.872520,1.311840,1.413266,0.802288,0.677176,0.569379,4.061995,1.416269,1.847913,0.914988,0.527145,10.150230,2.453130,2.212938,1.642532,0.909330,4,4,4,4,4
1557622640.493805,5.725409,1.290440,1.382830,0.848228,1.160930,2.569564,1.924814,1.877905,1.121747,0.927831,1.411694,1.596878,0.629481,0.717235,0.518329,3.697591,1.833380,1.619824,0.821498,0.543274,9.414899,2.418748,2.352873,1.831919,1.007255,4,4,4,4,4
1557622640.619722,5.031689,1.336005,1.154603,0.865136,1.265597,2.253623,2.717407,2.277646,1.237265,0.990673,1.428813,1.799178,0.504455,0.744563,0.458540,3.129104,2.232881,1.427461,0.770381,0.563728,8.307150,2.663914,2.312825,2.014370,1.097241,4,4,4,4,4
1557622640.745840,4.797260,1.331984,1.195032,0.966667,1.347243,1.984285,3.371488,2.507577,1.265043,1.039796,1.353269,1.964544,0.436019,0.744496,0.402842,2.548838,2.528621,1.267669,0.759896,0.584113,6.837538,3.176635,2.127212,2.153678,1.150882,4,4,4,4,4
1557622640.871957,5.102767,1.331289,1.425251,1.124204,1.381133,1.773611,3.682325,2.556606,1.199519,1.055882,1.200158,2.045605,0.397767,0.711161,0.360301,2.151692,2.685490,1.092935,0.774047,0.597317,5.758560,3.861398,1.853336,2.217296,1.145313,4,4,4,4,4
1557622640.997774,5.737336,1.412219,1.727454,1.315661,1.346380,1.616032,3.570589,2.486046,1.070527,1.026707,1.004459,2.020335,0.355105,0.652277,0.335207,2.039067,2.742642,0.874855,0.801439,0.597834,5.005645,4.564469,1.566541,2.194881,1.074359,4,4,4,4,4
1557622641.123792,6.377654,1.666944,2.041106,1.527978,1.238788,1.546989,3.105638,2.378149,0.935784,0.952180,0.816377,1.903009,0.299393,0.585986,0.328735,2.186830,2.782343,0.687771,0.849080,0.586371,4.999770,5.119361,1.352333,2.109544,0.955244,4,4,4,4,4
1557622641.249909,7.137313,2.234447,2.363204,1.742164,1.083560,1.569392,2.468479,2.315531,0.858302,0.848187,0.683213,1.727678,0.247429,0.528952,0.340513,2.469067,2.861343,0.655743,0.931269,0.573797,5.691833,5.483259,1.277764,2.010988,0.826705,4,4,4,4,4
1557622641.375927,8.694548,3.730317,2.711932,1.942550,0.931968,1.718413,1.898126,2.335010,0.869131,0.743248,0.626542,1.534778,0.228010,0.489580,0.368168,2.714062,2.998655,0.833047,1.043293,0.574078,7.425938,5.932564,1.359584,1.939621,0.733185,4,4,4,4,4
1557622641.502044,13.004692,7.085886,3.107978,2.102066,0.836673,2.025206,1.581676,2.417470,0.947541,0.666489,0.642571,1.351358,0.260238,0.468419,0.408842,2.771249,3.170847,1.189772,1.153667,0.594189,10.749656,6.948934,1.599766,1.904414,0.704134,4,4,4,4,4
1557622641.628062,24.581682,12.833960,3.489613,2.180377,0.825481,2.548804,1.591128,2.490204,1.037679,0.637178,0.708697,1.186183,0.336961,0.460651,0.457107,2.582527,3.382378,1.607969,1.214144,0.627658,17.434705,8.731898,1.968833,1.891206,0.742589,4,4,4,4,4
1557622641.754279,47.799507,20.808563,3.788820,2.144578,0.886278,3.303364,1.882598,2.488946,1.079657,0.656265,0.789770,1.042627,0.427492,0.459554,0.504702,2.246910,3.679709,1.926197,1.187629,0.657177,29.149423,11.177330,2.408325,1.881149,0.827019,4,4,4,4,4
1557622641.880497,82.833110,29.699611,3.927839,1.990324,0.974282,4.168774,2.331279,2.404607,1.045835,0.705024,0.845630,0.919791,0.500692,0.462335,0.542150,1.873448,4.100574,2.033934,1.071711,0.663224,45.663718,13.762283,2.843134,1.871022,0.919874,4,4,4,4,4
1557622642.006714,123.889771,37.253219,3.859362,1.752598,1.035920,4.980399,2.797497,2.259151,0.959866,0.758492,0.855794,0.813296,0.534185,0.476095,0.561142,1.590595,4.592499,1.914181,0.909892,0.636570,64.413398,15.635383,3.182667,1.875319,0.981837,4,4,4,4,4
1557622642.132732,160.422765,41.173350,3.582112,1.496692,1.037547,5.536179,3.171954,2.059003,0.867312,0.799592,0.831782,0.716340,0.514732,0.509819,0.558236,1.455679,5.011540,1.614940,0.757309,0.585354,80.614592,16.034166,3.309651,1.886071,0.986937,4,4,4,4,4
1557622642.258849,180.989325,40.171488,3.156776,1.308561,0.985998,5.706851,3.387727,1.821118,0.813869,0.821971,0.804649,0.633847,0.455749,0.567335,0.534218,1.496631,5.190448,1.240561,0.657562,0.531919,89.844328,14.722159,3.137454,1.887190,0.934116,4,4,4,4,4
1557622642.384767,178.453524,34.611917,2.673827,1.277144,0.919366,5.410883,3.414786,1.578826,0.828845,0.827504,0.795955,0.598906,0.388373,0.641192,0.493613,1.708070,5.021330,0.931772,0.631544,0.502319,88.976446,12.115717,2.687676,1.870013,0.847677,4,4,4,4,4
