TimeStamp,SCA_ENG,RAW_ENG,MIN_ENG,MAX_ENG,ACT_ENG,SCA_VAL,RAW_VAL,MIN_VAL,MAX_VAL,ACT_VAL,SCA_MED,RAW_MED,MIN_MED,MAX_MED,ACT_MED,SCA_FRU,RAW_FRU,MIN_FRU,MAX_FRU,ACT_FRU,SCA_FOC,RAW_FOC,MIN_FOC,MAX_FOC,ACT_FOC,SCA_EXC,RAW_EXC,MIN_EXC,MAX_EXC,ACT_EXC,SCA_LEX,CQ_AF3,CQ_T7,CQ_Pz,CQ_T8,CQ_AF4
1557655766.27675,0.727184,0.688643,-0.334195,1.04625,1,0.543605,4.52438,-33.065,35.8754,1,0.520499,0.442613,-0.855467,1.75119,1,0.432218,-0.143118,-0.325735,0.0983413,1,0.546717,0.540403,0.437658,0.618197,1,0.27527,8.37583,2.02139,23.4909,1,0.247403,4,3,0,4,4
1557655776.36368,0.71427,0.618628,-0.333169,1.04949,1,0.556923,3.65785,-32.91,35.7447,1,0.565555,0.590827,-0.850904,1.75018,1,0.524665,-0.102698,-0.325444,0.0986133,1,0.671195,0.554006,0.437488,0.619828,1,0.250581,7.97068,2.02273,23.4375,1,0.256314,4,4,0,4,4
1557655786.45030,0.758523,0.714046,-0.332306,1.053,1,0.530686,3.02418,-32.7717,35.6051,1,0.609517,0.684057,-0.847858,1.75434,1,0.483911,-0.117804,-0.325301,0.0993288,1,0.592815,0.543075,0.437495,0.620951,1,0.203174,6.49535,2.01635,23.3878,1,0.25454,4,4,0,4,4
1557655796.53672,0.689577,0.528667,-0.331985,1.057,1,0.529612,3.09303,-32.6418,35.4684,1,0.533626,0.600867,-0.844281,1.75596,1,0.512853,-0.105396,-0.325124,0.0998866,1,0.702059,0.560784,0.437359,0.62251,1,0.238885,7.5859,1.99779,23.346,1,0.242848,4,4,0,4,4
1557655806.62335,0.785189,0.723528,-0.33164,1.06119,1,0.522585,2.65186,-32.5193,35.333,1,0.477564,0.329868,-0.839807,1.75409,1,0.402101,-0.159308,-0.324697,0.0997889,1,0.562818,0.537611,0.437303,0.6238,1,0.166456,5.64255,1.97231,23.3087,1,0.227204,4,4,0,4,4
1557655816.70997,0.714979,0.610607,-0.331816,1.06617,1,0.528919,2.98539,-32.3959,35.1992,1,0.504267,0.517203,-0.83538,1.75115,1,0.409365,-0.138441,-0.32408,0.0989499,1,0.481327,0.525804,0.43744,0.624358,1,0.199284,6.72804,1.93747,23.2768,1,0.210435,4,4,0,4,4
1557655826.80464,0.779965,0.743871,-0.332441,1.07189,1,0.523691,2.61291,-32.2728,35.0665,1,0.459176,0.338599,-0.830932,1.74846,1,0.377692,-0.15862,-0.323427,0.0981454,1,0.469568,0.522735,0.43768,0.624524,1,0.153353,5.0554,1.90015,23.2471,1,0.196771,4,4,0,4,4
1557655836.89895,0.718537,0.65137,-0.332328,1.07629,1,0.522564,2.59409,-32.1572,34.9363,1,0.441667,0.321573,-0.826423,1.74388,1,0.381819,-0.155905,-0.322804,0.0972005,1,0.478186,0.533302,0.43794,0.62456,1,0.160618,5.91046,1.83912,23.235,1,0.178665,4,4,0,4,4
1557655846.98559,0.816003,0.806994,-0.33391,1.08342,1,0.5234,2.60759,-32.0422,34.8075,1,0.404974,0.280391,-0.82228,1.73974,1,0.347036,-0.166834,-0.322331,0.0964867,1,0.473907,0.524544,0.438179,0.624704,1,0.186308,5.53521,1.80904,23.2018,1,0.179655,4,4,0,4,4
1557655857.07233,0.761719,0.684202,-0.3357,1.09097,1,0.527297,2.80314,-31.9257,34.6802,1,0.477252,0.43669,-0.818511,1.73555,1,0.42706,-0.128774,-0.32208,0.0959794,1,0.576407,0.548023,0.438364,0.625093,1,0.136911,4.52013,1.74876,23.1906,1,0.168712,4,4,0,4,4
1557655867.16672,0.716965,0.625092,-0.335194,1.09492,1,0.557592,4.73564,-31.8028,34.56,1,0.487436,0.355316,-0.814472,1.73381,1,0.463869,-0.135495,-0.321773,0.0961183,1,0.556235,0.536186,0.438421,0.626009,1,0.230953,8.76258,1.68744,23.1821,1,0.163662,4,4,0,4,4
1557655877.25352,0.781254,0.838271,-0.335056,1.09909,1,0.568729,4.86293,-31.662,34.4496,1,0.492067,0.5352,-0.811272,1.73121,1,0.417759,-0.125672,-0.321443,0.0958872,1,0.628259,0.561157,0.438494,0.626774,1,0.514772,11.8936,1.70606,23.1702,1,0.249078,4,4,0,4,4
1557655887.33982,0.778677,0.742812,-0.337396,1.10744,1,0.54622,4.03016,-31.5307,34.3292,1,0.552956,0.56609,-0.80765,1.7315,1,0.489339,-0.118836,-0.321077,0.0958938,1,0.559797,0.539702,0.438495,0.627843,1,0.274718,7.6974,1.73078,23.1316,1,0.298585,4,4,0,4,4
