TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_T7,CQ_Pz,CQ_T8,CQ_AF4
1557655311.015285,11.990894,14.148962,2.116793,0.944064,0.377182,6.359630,5.705282,0.631676,1.241587,0.569127,1.877493,2.423621,0.413681,0.647790,0.435209,2.862394,3.015886,2.097076,1.868314,0.396678,10.347158,16.210253,2.356998,1.595209,0.559041,4,2,0,4,4
1557655311.141371,13.237697,15.145153,2.217292,0.935325,0.389833,6.670582,5.189334,0.612344,1.156577,0.553988,1.719650,2.419820,0.397076,0.697979,0.397953,2.900274,2.464807,1.526938,1.639048,0.360040,17.979063,17.391515,2.474882,1.778993,0.517280,4,2,0,4,4
1557655311.267457,14.021247,14.866656,2.328478,0.947390,0.418009,6.341750,4.327518,0.609890,1.096766,0.556962,1.573371,2.261997,0.439149,0.727240,0.363371,2.774498,2.071101,1.033122,1.410799,0.325124,31.039078,18.569100,2.928586,2.033656,0.481566,4,2,0,4,4
1557655311.393444,14.062554,13.334828,2.406442,0.965568,0.455691,5.677610,3.327073,0.605840,1.104988,0.586441,1.424299,1.976908,0.534956,0.732036,0.340039,2.481595,1.925275,0.728599,1.235486,0.298517,45.750117,19.684729,3.697107,2.304430,0.462534,4,2,0,4,4
1557655311.519631,13.335936,10.903209,2.408517,1.010824,0.491677,4.874452,2.436823,0.590461,1.198185,0.640133,1.349552,1.645792,0.663582,0.705489,0.328217,2.173478,2.019053,0.633224,1.131260,0.282798,60.227929,20.328629,4.536432,2.520024,0.474388,4,2,0,4,4
1557655311.645717,11.637426,8.216596,2.317274,1.116032,0.519036,4.194592,1.845793,0.579831,1.354901,0.705846,1.275412,1.365468,0.794618,0.645412,0.322445,1.904974,2.300363,0.690445,1.098816,0.278488,66.899124,20.021155,5.080276,2.622614,0.531290,4,2,0,4,4
1557655311.771904,9.450702,5.982862,2.211926,1.301079,0.541122,3.743515,1.624898,0.606156,1.522091,0.766773,1.194166,1.188441,0.910049,0.564134,0.319818,1.704126,2.700590,0.827677,1.136330,0.286428,66.120610,18.432989,5.069656,2.600483,0.637960,4,2,0,4,4
1557655311.897790,7.286945,4.703545,2.256233,1.547160,0.568566,3.435522,1.735956,0.712362,1.632443,0.809419,1.075590,1.111725,1.002328,0.484160,0.322440,1.598363,3.137977,1.012639,1.233661,0.308632,55.601680,15.661110,4.533833,2.494473,0.778587,4,2,0,4,4
1557655312.024177,6.005584,4.558941,2.576814,1.799017,0.608809,3.213556,2.055953,0.932237,1.635597,0.829260,0.956705,1.095064,1.067066,0.432275,0.334504,1.730515,3.482141,1.234362,1.377654,0.348052,40.673465,12.372863,3.732262,2.368231,0.916925,4,2,0,4,4
1557655312.150363,6.009117,5.382366,3.145291,1.988902,0.658495,2.960141,2.456147,1.281663,1.519729,0.828224,0.881866,1.091841,1.093823,0.427066,0.355201,2.076986,3.637763,1.477041,1.558871,0.404641,26.341218,9.691993,3.042733,2.277350,1.012283,4,2,0,4,4
