TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_T7,CQ_Pz,CQ_T8,CQ_AF4
1557654784.012976,10.252567,4.780406,1.587966,1.430856,1.092935,435.526091,246.920312,81.850321,28.117781,5.554690,26.155625,6.050732,4.291602,4.552979,20.117825,73.059286,13.553238,6.238239,4.506609,3.932926,9.492994,6.296166,2.807180,1.954253,1.945107,4,4,1,4,4
1557654784.138982,8.720565,4.190165,1.548697,1.433003,1.172161,373.091054,208.334283,69.038304,24.589858,5.536739,25.790983,5.924421,3.835499,3.841426,20.207672,92.200719,12.330503,6.140964,4.843284,3.763512,7.143503,5.329833,2.788574,1.942746,2.120003,4,4,1,4,4
1557654784.265087,7.907095,3.548526,1.482073,1.478951,1.286581,271.832870,149.298606,50.195653,18.811587,5.159178,22.990332,6.078166,3.417916,3.129117,20.110151,105.989671,11.903336,5.751606,5.352076,3.437746,5.298978,4.423408,2.842135,1.923354,2.222436,4,4,1,4,4
1557654784.390993,7.847729,2.972707,1.362157,1.538751,1.435898,165.373124,88.575966,31.294202,12.602953,4.587424,18.846796,6.432587,3.018171,2.529675,19.819793,107.498187,12.318333,5.321411,5.885821,3.100915,4.477658,3.779523,2.902222,1.928513,2.252999,4,4,1,4,4
1557654784.516998,8.139969,2.565400,1.225704,1.583051,1.589354,81.985500,41.819645,17.058846,7.573775,4.008316,14.701178,6.819300,2.668990,2.131394,19.372007,96.446981,13.092651,5.042977,6.231136,2.898392,4.591807,3.502939,2.903262,1.980288,2.227014,4,3,2,4,4
1557654784.643004,8.636988,2.332753,1.160650,1.602330,1.694974,32.776550,15.156421,9.083309,4.523992,3.546940,11.383000,6.968473,2.427772,1.905538,18.823756,75.541017,13.492029,5.049614,6.216273,2.904512,5.328734,3.519424,2.803694,2.084470,2.159346,4,3,2,4,4
1557654784.769109,8.631283,2.335552,1.263876,1.609349,1.704759,14.421145,4.891426,5.992357,3.227741,3.230392,8.983067,6.637956,2.261354,1.789436,18.275313,52.262086,12.941483,5.280594,5.813977,3.089990,6.239687,3.716992,2.582774,2.222670,2.060525,4,3,2,4,4
1557654784.895315,8.278599,2.668842,1.586555,1.614794,1.601845,9.959531,2.567871,5.176700,2.899844,3.011830,7.474159,5.745781,2.145297,1.750907,17.857112,35.179378,11.465946,5.593860,5.148607,3.346227,6.939734,4.023913,2.259493,2.342518,1.936424,4,3,2,4,4
1557654785.021520,7.136246,3.396777,2.150048,1.617086,1.411763,9.148125,2.155734,4.951558,2.882583,2.837895,6.566603,4.455193,2.040759,1.774635,17.692621,24.832089,9.507709,5.911500,4.466187,3.548942,7.135642,4.429287,1.922020,2.389254,1.791526,4,4,2,4,4
1557654785.147526,6.006107,4.405868,2.862152,1.597685,1.192235,8.725948,2.364160,4.883841,2.906307,2.700962,5.968279,3.103676,1.932391,1.844616,17.858520,23.002748,7.601096,6.238451,3.987145,3.638171,6.982197,4.939743,1.674142,2.331356,1.641174,4,4,2,4,4
