TimeStamp,SCA_ENG,RAW_ENG,MIN_ENG,MAX_ENG,ACT_ENG,SCA_VAL,RAW_VAL,MIN_VAL,MAX_VAL,ACT_VAL,SCA_MED,RAW_MED,MIN_MED,MAX_MED,ACT_MED,SCA_FRU,RAW_FRU,MIN_FRU,MAX_FRU,ACT_FRU,SCA_FOC,RAW_FOC,MIN_FOC,MAX_FOC,ACT_FOC,SCA_EXC,RAW_EXC,MIN_EXC,MAX_EXC,ACT_EXC,SCA_LEX,CQ_AF3,CQ_T7,CQ_Pz,CQ_T8,CQ_AF4
1557654787.92104,0.775753,0.801041,-0.468005,1.10018,1,0.533298,4.35005,-34.8555,40.5253,1,0.61703,0.9123,-0.928753,2.00884,1,0.538233,-0.0873463,-0.341885,0.127071,1,0.28361,0.491872,0.422052,0.634895,1,0.385553,12.6523,3.89067,26.3119,1,0.256517,4,3,2,4,4
1557654798.00803,0.83768,0.888263,-0.48858,1.15647,1,0.507686,3.14181,-34.2269,39.8119,1,0.530868,0.650496,-0.916785,2.03081,1,0.498113,-0.106544,-0.341874,0.131915,1,0.381806,0.512579,0.423115,0.63406,1,0.267727,9.89379,4.0011,26.0553,1,0.2804,4,4,2,4,4
1557654808.09475,0.558869,0.401103,-0.492793,1.18188,1,0.504456,5.23776,-33.7643,39.156,1,0.448362,0.373208,-0.894921,2.02271,1,0.40069,-0.1509,-0.339787,0.131651,1,0.231931,0.482305,0.423626,0.632345,1,0.223217,10.0459,3.94329,25.8414,1,0.268879,3,3,3,4,4
1557654818.18111,0.669406,0.592426,-0.480952,1.18032,1,0.547558,3.46964,-33.2949,38.7005,1,0.391074,0.353921,-0.875854,1.99686,1,0.359772,-0.155894,-0.33716,0.12747,1,0.41876,0.510775,0.424463,0.631396,1,0.28839,10.0327,3.97007,25.627,1,0.280271,4,4,4,4,4
1557654828.26791,0.593775,0.482446,-0.469256,1.18077,1,0.496702,2.22989,-32.8651,38.1189,1,0.374417,0.273603,-0.859243,1.97156,1,0.358532,-0.151125,-0.334855,0.123228,1,0.312161,0.49193,0.425297,0.630241,1,0.141057,6.34858,3.82628,25.4991,1,0.258017,4,4,4,4,4
1557654838.36230,0.492571,0.305953,-0.457161,1.17219,1,0.482561,1.36599,-32.5771,37.5906,1,0.345365,0.047185,-0.84485,1.94633,1,0.38764,-0.156635,-0.332331,0.119822,1,0.195967,0.471079,0.425502,0.628778,1,0.161888,7.26839,3.54671,25.4636,1,0.219251,4,4,4,4,3
1557654848.39389,0.465248,0.316371,-0.447508,1.16134,1,0.485044,1.69626,-32.3352,37.0975,1,0.231062,-0.0982085,-0.849002,1.92845,1,0.285736,-0.196696,-0.331365,0.116806,1,0.212508,0.469317,0.425443,0.627253,1,0.15083,6.9459,3.31883,25.3911,1,0.190258,4,3,4,4,4
1557654858.48040,0.427988,0.308384,-0.441655,1.15046,1,0.489558,1.725,-32.0742,36.6154,1,0.24817,-0.0588337,-0.860624,1.91423,1,0.334978,-0.16639,-0.33245,0.11569,1,0.206838,0.466537,0.424817,0.626384,1,0.240712,8.98918,3.19625,25.2622,1,0.187195,4,4,4,4,4
1557654868.56701,0.533282,0.374044,-0.433479,1.14172,1,0.488869,1.40233,-31.7968,36.1442,1,0.224254,-0.241216,-0.866601,1.89712,1,0.282065,-0.194539,-0.331856,0.113276,1,0.181244,0.464107,0.423942,0.625518,1,0.211173,8.75342,3.11455,25.11,1,0.190731,4,3,4,4,4
1557654878.65383,0.499398,0.337526,-0.423028,1.13215,1,0.485753,1.3245,-31.5691,35.7057,1,0.192022,-0.338465,-0.887745,1.89114,1,0.27475,-0.198547,-0.332625,0.111652,1,0.185273,0.465933,0.423598,0.624147,1,0.190314,6.59081,3.0689,24.9472,1,0.202062,4,3,4,4,4
1557654888.74044,0.515528,0.402345,-0.41354,1.12191,1,0.48443,1.13661,-31.355,35.2878,1,0.196582,-0.265582,-0.920624,1.89636,1,0.281267,-0.191623,-0.334483,0.111326,1,0.263851,0.476499,0.423495,0.622808,1,0.15553,6.74973,2.81201,24.9324,1,0.188932,4,3,4,4,4
1557654898.82695,0.501825,0.390539,-0.404627,1.11353,1,0.489514,1.36798,-31.1306,34.8761,1,0.201129,-0.361919,-0.937001,1.88788,1,0.242277,-0.219403,-0.336013,0.110818,1,0.151664,0.4557,0.423122,0.621795,1,0.195931,7.29196,2.68259,24.8214,1,0.188842,4,3,4,4,3
